period,biz_line_id,branch_id,product_type,customer_segment,actual_revenue,actual_direct_cost,actual_allocated_expense,actual_profit,actual_trade_volume,actual_commission_rate
2025-01,BROKERAGE,B005,FUND,HNW,1019416.29,234465.75,244659.91,540290.63,3486642910.65,0.00029238
2025-01,BROKERAGE,B005,BOND,HNW,479725.31,110336.82,115134.07,254254.41,2050966418.03,0.0002339
2025-01,BROKERAGE,B005,ETF,HNW,1019416.29,234465.75,244659.91,540290.63,3826803194.62,0.00026639
2025-01,BROKERAGE,B005,STOCK,INSTITUTION,2326092.09,535001.18,558262.1,1232828.81,9661134739.19,0.00024077
2025-01,BROKERAGE,B005,FUND,INSTITUTION,681785.61,156810.69,163628.55,361346.37,3146346562.57,0.00021669
2025-01,BROKERAGE,B005,BOND,INSTITUTION,320840.29,73793.27,77001.67,170045.35,1850792095.63,0.00017335
2025-01,BROKERAGE,B005,ETF,INSTITUTION,681785.61,156810.69,163628.55,361346.37,3453307202.82,0.00019743
2025-01,BROKERAGE,B006,STOCK,RETAIL,6925101.38,1592773.32,2077530.41,3254797.65,18553619526.56,0.00037325
2025-01,BROKERAGE,B006,FUND,RETAIL,2029771.09,466847.35,608931.33,953992.41,6042366512.48,0.00033592
2025-01,BROKERAGE,B006,BOND,RETAIL,955186.4,219692.87,286555.92,448937.61,3554333242.64,0.00026874
2025-01,BROKERAGE,B006,ETF,RETAIL,2029771.09,466847.35,608931.33,953992.41,6631865684.43,0.00030606
2025-01,BROKERAGE,B006,STOCK,HNW,3091563.12,711059.52,927468.93,1453034.66,9516484179.66,0.00032486
2025-01,BROKERAGE,B006,FUND,HNW,906147.81,208414.0,271844.34,425889.47,3099238142.8,0.00029238
2025-01,BROKERAGE,B006,BOND,HNW,426422.5,98077.17,127926.75,200418.57,1823081260.47,0.0002339
2025-01,BROKERAGE,B006,ETF,HNW,906147.81,208414.0,271844.34,425889.47,3401602839.66,0.00026639
2025-01,BROKERAGE,B006,STOCK,INSTITUTION,2067637.41,475556.6,620291.22,971789.58,8587675323.72,0.00024077
2025-01,BROKERAGE,B006,FUND,INSTITUTION,606031.66,139387.28,181809.5,284834.88,2796752500.06,0.00021669
2025-01,BROKERAGE,B006,BOND,INSTITUTION,285191.37,65594.01,85557.41,134039.94,1645148529.45,0.00017335
2025-01,BROKERAGE,B006,ETF,INSTITUTION,606031.66,139387.28,181809.5,284834.88,3069606402.51,0.00019743
2025-01,BROKERAGE,B007,STOCK,RETAIL,9522014.4,2190063.31,2285283.46,5046667.63,25511226849.02,0.00037325
2025-01,BROKERAGE,B007,FUND,RETAIL,2790935.25,641915.11,669824.46,1479195.69,8308253954.66,0.00033592
2025-01,BROKERAGE,B007,BOND,RETAIL,1313381.3,302077.7,315211.51,696092.09,4887208208.62,0.00026874
2025-01,BROKERAGE,B007,ETF,RETAIL,2790935.25,641915.11,669824.46,1479195.69,9118815316.09,0.00030606
2025-01,BROKERAGE,B007,STOCK,HNW,4250899.29,977706.84,1020215.83,2252976.62,13085165747.03,0.00032486
2025-01,BROKERAGE,B007,FUND,HNW,1245953.24,286569.24,299028.78,660355.22,4261452446.35,0.00029238
2025-01,BROKERAGE,B007,BOND,HNW,586330.94,134856.12,140719.42,310755.4,2506736733.15,0.0002339
2025-01,BROKERAGE,B007,ETF,HNW,1245953.24,286569.24,299028.78,660355.22,4677203904.53,0.00026639
2025-01,BROKERAGE,B007,STOCK,INSTITUTION,2843001.44,653890.33,682320.35,1506790.76,11808053570.12,0.00024077
2025-01,BROKERAGE,B007,FUND,INSTITUTION,833293.53,191657.51,199990.45,441645.57,3845534687.59,0.00021669
2025-01,BROKERAGE,B007,BOND,INSTITUTION,392138.13,90191.77,94113.15,207833.21,2262079227.99,0.00017335
2025-01,BROKERAGE,B007,ETF,INSTITUTION,833293.53,191657.51,199990.45,441645.57,4220708803.45,0.00019743
2025-01,BROKERAGE,B008,STOCK,RETAIL,6059463.71,1393676.65,1454271.29,3211515.77,16234417085.74,0.00037325
2025-01,BROKERAGE,B008,FUND,RETAIL,1776049.71,408491.43,426251.93,941306.35,5287070698.42,0.00033592
2025-01,BROKERAGE,B008,BOND,RETAIL,835788.1,192231.26,200589.14,442967.69,3110041587.31,0.00026874
2025-01,BROKERAGE,B008,ETF,RETAIL,1776049.71,408491.43,426251.93,941306.35,5802882473.88,0.00030606
2025-01,BROKERAGE,B008,STOCK,HNW,2705117.73,622177.08,649228.25,1433712.4,8326923657.2,0.00032486
2025-01,BROKERAGE,B008,FUND,HNW,792879.33,182362.25,190291.04,420226.05,2711833374.95,0.00029238
2025-01,BROKERAGE,B008,BOND,HNW,373119.69,85817.53,89548.72,197753.43,1595196102.91,0.0002339
2025-01,BROKERAGE,B008,ETF,HNW,792879.33,182362.25,190291.04,420226.05,2976402484.7,0.00026639
2025-01,BROKERAGE,B008,STOCK,INSTITUTION,1809182.74,416112.03,434203.86,958866.85,7514215908.26,0.00024077
2025-01,BROKERAGE,B008,FUND,INSTITUTION,530277.7,121963.87,127266.65,281047.18,2447158437.55,0.00021669
2025-01,BROKERAGE,B008,BOND,INSTITUTION,249542.45,57394.76,59890.19,132257.5,1439504963.27,0.00017335
2025-01,BROKERAGE,B008,ETF,INSTITUTION,530277.7,121963.87,127266.65,281047.18,2685905602.19,0.00019743
2025-01,BROKERAGE,B009,STOCK,RETAIL,4328188.36,995483.32,1298456.51,2034248.53,11596012204.1,0.00037325
2025-01,BROKERAGE,B009,FUND,RETAIL,1268606.93,291779.59,380582.08,596245.26,3776479070.3,0.00033592
2025-01,BROKERAGE,B009,BOND,RETAIL,596991.5,137308.04,179097.45,280586.0,2221458276.65,0.00026874
2025-01,BROKERAGE,B009,ETF,RETAIL,1268606.93,291779.59,380582.08,596245.26,4144916052.77,0.00030606
2025-01,BROKERAGE,B009,STOCK,HNW,1932226.95,444412.2,579668.08,908146.67,5947802612.28,0.00032486
2025-01,BROKERAGE,B009,FUND,HNW,566342.38,130258.75,169902.71,266180.92,1937023839.25,0.00029238
2025-01,BROKERAGE,B009,BOND,HNW,266514.06,61298.23,79954.22,125261.61,1139425787.79,0.0002339
2025-01,BROKERAGE,B009,ETF,HNW,566342.38,130258.75,169902.71,266180.92,2126001774.79,0.00026639
2025-01,BROKERAGE,B009,STOCK,INSTITUTION,1292273.38,297222.88,387682.01,607368.49,5367297077.33,0.00024077
2025-01,BROKERAGE,B009,FUND,INSTITUTION,378769.78,87117.05,113630.94,178021.8,1747970312.54,0.00021669
2025-01,BROKERAGE,B009,BOND,INSTITUTION,178244.6,40996.26,53473.38,83774.96,1028217830.91,0.00017335
2025-01,BROKERAGE,B009,ETF,INSTITUTION,378769.78,87117.05,113630.94,178021.8,1918504001.57,0.00019743
2025-01,IB,B001,IB_PROJECT,INSTITUTION,4364193.06,1658393.36,960122.47,1745677.22,0.0,0.0
2025-01,IB,B002,IB_PROJECT,INSTITUTION,6400816.49,2432310.27,2432310.27,1536195.96,0.0,0.0
2025-01,IB,B003,IB_PROJECT,INSTITUTION,3782300.65,1437274.25,832106.14,1512920.26,0.0,0.0
2025-01,IB,B004,IB_PROJECT,INSTITUTION,2909462.04,1105595.58,640081.65,1163784.82,0.0,0.0
2025-01,IB,B005,IB_PROJECT,INSTITUTION,2618515.84,995036.02,576073.48,1047406.33,0.0,0.0
2025-01,IB,B006,IB_PROJECT,INSTITUTION,2327569.63,884476.46,512065.32,931027.85,0.0,0.0
2025-01,IB,B007,IB_PROJECT,INSTITUTION,3200408.24,1216155.13,704089.81,1280163.3,0.0,0.0
2025-01,IB,B008,IB_PROJECT,INSTITUTION,2036623.43,773916.9,448057.15,814649.37,0.0,0.0
2025-01,IB,B009,IB_PROJECT,INSTITUTION,1454731.02,552797.79,320040.82,581892.41,0.0,0.0
2025-01,ASSET_MGMT,B001,ASSET_MGMT_PLAN,HNW,4827562.1,1399993.01,1158614.9,2268954.19,0.0,0.0
2025-01,ASSET_MGMT,B002,ASSET_MGMT_PLAN,HNW,7080424.41,2053323.08,2832169.76,2194931.57,0.0,0.0
2025-01,ASSET_MGMT,B003,ASSET_MGMT_PLAN,HNW,4183887.15,1213327.27,1004132.92,1966426.96,0.0,0.0
2025-01,ASSET_MGMT,B004,ASSET_MGMT_PLAN,HNW,3218374.73,933328.67,772409.94,1512636.12,0.0,0.0
2025-01,ASSET_MGMT,B005,ASSET_MGMT_PLAN,HNW,2896537.26,839995.8,695168.94,1361372.51,0.0,0.0
2025-01,ASSET_MGMT,B006,ASSET_MGMT_PLAN,HNW,2574699.79,746662.94,617927.95,1210108.9,0.0,0.0
2025-01,ASSET_MGMT,B007,ASSET_MGMT_PLAN,HNW,3540212.2,1026661.54,849650.93,1663899.74,0.0,0.0
2025-01,ASSET_MGMT,B008,ASSET_MGMT_PLAN,HNW,2252862.31,653330.07,540686.95,1058845.29,0.0,0.0
2025-01,ASSET_MGMT,B009,ASSET_MGMT_PLAN,HNW,1609187.37,466664.34,386204.97,756318.06,0.0,0.0
2025-01,PROPRIETARY,B001,PROPRIETARY_BOOK,INSTITUTION,23840076.65,1907206.13,2384007.66,19548862.85,0.0,0.0
2025-01,PROPRIETARY,B002,PROPRIETARY_BOOK,INSTITUTION,34965445.75,2797235.66,9091015.89,23077194.19,0.0,0.0
2025-01,PROPRIETARY,B003,PROPRIETARY_BOOK,INSTITUTION,20661399.76,1652911.98,2066139.98,16942347.8,0.0,0.0
2025-01,PROPRIETARY,B004,PROPRIETARY_BOOK,INSTITUTION,15893384.43,1271470.75,1589338.44,13032575.23,0.0,0.0
2025-01,PROPRIETARY,B005,PROPRIETARY_BOOK,INSTITUTION,14304045.99,1144323.68,1430404.6,11729317.71,0.0,0.0
2025-01,PROPRIETARY,B006,PROPRIETARY_BOOK,INSTITUTION,12714707.54,1017176.6,1271470.75,10426060.19,0.0,0.0
2025-01,PROPRIETARY,B007,PROPRIETARY_BOOK,INSTITUTION,17482722.87,1398617.83,1748272.29,14335832.76,0.0,0.0
2025-01,PROPRIETARY,B008,PROPRIETARY_BOOK,INSTITUTION,11125369.1,890029.53,1112536.91,9122802.66,0.0,0.0
2025-01,PROPRIETARY,B009,PROPRIETARY_BOOK,INSTITUTION,7946692.22,635735.38,794669.22,6516287.62,0.0,0.0
2025-01,MARGIN,B001,MARGIN_FINANCING,HNW,21325764.59,3838637.63,3838637.63,13648489.34,269264704429.87,7.92e-05
2025-01,MARGIN,B002,MARGIN_FINANCING,HNW,31277788.07,5630001.85,10634447.94,15013338.27,394921566497.14,7.92e-05
2025-01,MARGIN,B003,MARGIN_FINANCING,HNW,18482329.31,3326819.28,3326819.28,11828690.76,233362743839.22,7.92e-05
2025-01,MARGIN,B004,MARGIN_FINANCING,HNW,14217176.39,2559091.75,2559091.75,9098992.89,179509802953.24,7.92e-05
2025-01,MARGIN,B005,MARGIN_FINANCING,HNW,12795458.75,2303182.58,2303182.58,8189093.6,161558822657.92,7.92e-05
2025-01,MARGIN,B006,MARGIN_FINANCING,HNW,11373741.12,2047273.4,2047273.4,7279194.31,143607842362.6,7.92e-05
2025-01,MARGIN,B007,MARGIN_FINANCING,HNW,15638894.03,2815000.93,2815000.93,10008892.18,197460783248.57,7.92e-05
2025-01,MARGIN,B008,MARGIN_FINANCING,HNW,9952023.48,1791364.23,1791364.23,6369295.02,125656862067.27,7.92e-05
2025-01,MARGIN,B009,MARGIN_FINANCING,HNW,7108588.2,1279545.88,1279545.88,4549496.45,89754901476.62,7.92e-05
2025-01,WEALTH,B001,WEALTH_PRODUCT,HNW,7504424.87,3151858.44,2551504.46,1801061.97,0.0,0.0
2025-01,WEALTH,B002,WEALTH_PRODUCT,HNW,11006489.81,4622725.72,5503244.9,880519.18,0.0,0.0
2025-01,WEALTH,B003,WEALTH_PRODUCT,HNW,5203067.91,2185288.52,1769043.09,1248736.3,0.0,0.0
2025-01,WEALTH,B004,WEALTH_PRODUCT,HNW,4002359.93,1680991.17,1360802.38,960566.38,0.0,0.0
2025-01,WEALTH,B005,WEALTH_PRODUCT,HNW,4502654.92,1891115.07,1530902.67,1080637.18,0.0,0.0
2025-01,WEALTH,B006,WEALTH_PRODUCT,HNW,3201887.94,1344792.94,1088641.9,768453.11,0.0,0.0
2025-01,WEALTH,B007,WEALTH_PRODUCT,HNW,4402595.92,1849090.29,1496882.61,1056623.02,0.0,0.0
2025-01,WEALTH,B008,WEALTH_PRODUCT,HNW,2801651.95,1176693.82,952561.66,672396.47,0.0,0.0
2025-01,WEALTH,B009,WEALTH_PRODUCT,HNW,2001179.96,840495.59,680401.19,480283.19,0.0,0.0
2025-01,HQ,B001,HQ_SERVICE,INSTITUTION,8212500.0,5338125.0,5913000.0,-3038625.0,0.0,0.0
2025-01,HQ,B002,HQ_SERVICE,INSTITUTION,12045000.0,7829250.0,10599600.0,-6383850.0,0.0,0.0
2025-01,HQ,B003,HQ_SERVICE,INSTITUTION,7117500.0,4626375.0,5124600.0,-2633475.0,0.0,0.0
2025-01,HQ,B004,HQ_SERVICE,INSTITUTION,5475000.0,3558750.0,3942000.0,-2025750.0,0.0,0.0
2025-01,HQ,B005,HQ_SERVICE,INSTITUTION,4927500.0,3202875.0,3547800.0,-1823175.0,0.0,0.0
2025-01,HQ,B006,HQ_SERVICE,INSTITUTION,4380000.0,2847000.0,3153600.0,-1620600.0,0.0,0.0
2025-01,HQ,B007,HQ_SERVICE,INSTITUTION,6022500.0,3914625.0,4336200.0,-2228325.0,0.0,0.0
2025-01,HQ,B008,HQ_SERVICE,INSTITUTION,3832500.0,2491125.0,2759400.0,-1418025.0,0.0,0.0
2025-01,HQ,B009,HQ_SERVICE,INSTITUTION,2737500.0,1779375.0,1971000.0,-1012875.0,0.0,0.0
2025-02,BROKERAGE,B001,STOCK,RETAIL,11739469.81,2700078.06,2817472.75,6221919.0,31452197485.09,0.00037325
2025-02,BROKERAGE,B001,FUND,RETAIL,3440879.08,791402.19,825810.98,1823665.91,10243052820.81,0.00033592
2025-02,BROKERAGE,B001,BOND,RETAIL,1619237.21,372424.56,388616.93,858195.72,6025325188.71,0.00026874
2025-02,BROKERAGE,B001,ETF,RETAIL,3440879.08,791402.19,825810.98,1823665.91,11242375047.24,0.00030606
2025-02,BROKERAGE,B001,STOCK,HNW,5240834.74,1205391.99,1257800.34,2777642.41,16132396126.47,0.00032486
2025-02,BROKERAGE,B001,FUND,HNW,1536106.73,353304.55,368665.62,814136.57,5253845481.8,0.00029238
2025-02,BROKERAGE,B001,BOND,HNW,722873.76,166260.96,173489.7,383123.09,3090497342.24,0.0002339
2025-02,BROKERAGE,B001,ETF,HNW,1536106.73,353304.55,368665.62,814136.57,5766415772.71,0.00026639
2025-02,BROKERAGE,B001,STOCK,INSTITUTION,3505070.27,806166.16,841216.87,1857687.24,14557874264.53,0.00024077
2025-02,BROKERAGE,B001,FUND,INSTITUTION,1027348.18,236290.08,246563.56,544494.54,4741070162.78,0.00021669
2025-02,BROKERAGE,B001,BOND,INSTITUTION,483457.97,111195.33,116029.91,256232.72,2788864801.63,0.00017335
2025-02,BROKERAGE,B001,ETF,INSTITUTION,1027348.18,236290.08,246563.56,544494.54,5203613593.29,0.00019743
2025-02,BROKERAGE,B002,STOCK,RETAIL,18472847.69,4248754.97,7389139.08,6834953.65,62653804400.83,0.00029484
2025-02,BROKERAGE,B002,FUND,RETAIL,5414455.36,1245324.73,2165782.14,2003348.48,20404495686.09,0.00026536
2025-02,BROKERAGE,B002,BOND,RETAIL,2547978.99,586035.17,1019191.6,942752.23,12002644521.23,0.00021228
2025-02,BROKERAGE,B002,ETF,RETAIL,5414455.36,1245324.73,2165782.14,2003348.48,22395178192.05,0.00024177
2025-02,BROKERAGE,B002,STOCK,HNW,8246807.0,1896765.61,3298722.8,3051318.59,32136259856.05,0.00025662
2025-02,BROKERAGE,B002,FUND,HNW,2417167.57,555948.54,966867.03,894352.0,10465831753.89,0.00023096
2025-02,BROKERAGE,B002,BOND,HNW,1137490.62,261622.84,454996.25,420871.53,6156371619.93,0.00018477
2025-02,BROKERAGE,B002,ETF,HNW,2417167.57,555948.54,966867.03,894352.0,11486888510.36,0.00021043
2025-02,BROKERAGE,B002,STOCK,INSTITUTION,5818512.03,1338257.77,2327404.81,2152849.45,28999760894.1,0.00020064
2025-02,BROKERAGE,B002,FUND,INSTITUTION,1705425.94,392247.97,682170.38,631007.6,9444366574.71,0.00018058
2025-02,BROKERAGE,B002,BOND,INSTITUTION,802553.38,184587.28,321021.35,296944.75,5555509749.83,0.00014446
2025-02,BROKERAGE,B002,ETF,INSTITUTION,1705425.94,392247.97,682170.38,631007.6,10365768191.75,0.00016452
2025-02,BROKERAGE,B003,STOCK,RETAIL,10174207.17,2340067.65,2441809.72,5392329.8,28693232793.41,0.00035459
2025-02,BROKERAGE,B003,FUND,RETAIL,2982095.2,685881.9,715702.85,1580510.46,9344539415.48,0.00031913
2025-02,BROKERAGE,B003,BOND,RETAIL,1403338.92,322767.95,336801.34,743769.63,5496787891.46,0.0002553
2025-02,BROKERAGE,B003,ETF,RETAIL,2982095.2,685881.9,715702.85,1580510.46,10256201797.48,0.00029076
2025-02,BROKERAGE,B003,STOCK,HNW,4542056.77,1044673.06,1090093.62,2407290.09,14717273659.24,0.00030862
2025-02,BROKERAGE,B003,FUND,HNW,1331292.5,306197.28,319510.2,705585.03,4792981843.05,0.00027776
2025-02,BROKERAGE,B003,BOND,HNW,626490.59,144092.84,150357.74,332040.01,2819401084.14,0.00022221
2025-02,BROKERAGE,B003,ETF,HNW,1331292.5,306197.28,319510.2,705585.03,5260589827.73,0.00025307
2025-02,BROKERAGE,B003,STOCK,INSTITUTION,3037727.57,698677.34,729054.62,1609995.61,13280867750.09,0.00022873
2025-02,BROKERAGE,B003,FUND,INSTITUTION,890368.43,204784.74,213688.42,471895.27,4325186815.16,0.00020586
2025-02,BROKERAGE,B003,BOND,INSTITUTION,418996.91,96369.29,100559.26,222068.36,2544227538.33,0.00016469
2025-02,BROKERAGE,B003,ETF,INSTITUTION,890368.43,204784.74,213688.42,471895.27,4747156260.55,0.00018756
2025-02,BROKERAGE,B004,STOCK,RETAIL,7826313.2,1800052.04,1878315.17,4147946.0,20968131656.73,0.00037325
2025-02,BROKERAGE,B004,FUND,RETAIL,2293919.39,527601.46,550540.65,1215777.28,6828701880.54,0.00033592
2025-02,BROKERAGE,B004,BOND,RETAIL,1079491.48,248283.04,259077.95,572130.48,4016883459.14,0.00026874
2025-02,BROKERAGE,B004,ETF,RETAIL,2293919.39,527601.46,550540.65,1215777.28,7494916698.16,0.00030606
2025-02,BROKERAGE,B004,STOCK,HNW,3493889.82,803594.66,838533.56,1851761.61,10754930750.98,0.00032486
2025-02,BROKERAGE,B004,FUND,HNW,1024071.16,235536.37,245777.08,542757.71,3502563654.53,0.00029238
2025-02,BROKERAGE,B004,BOND,HNW,481915.84,110840.64,115659.8,255415.39,2060331561.49,0.0002339
2025-02,BROKERAGE,B004,ETF,HNW,1024071.16,235536.37,245777.08,542757.71,3844277181.81,0.00026639
2025-02,BROKERAGE,B004,STOCK,INSTITUTION,2336713.51,537444.11,560811.24,1238458.16,9705249509.68,0.00024077
2025-02,BROKERAGE,B004,FUND,INSTITUTION,684898.79,157526.72,164375.71,362996.36,3160713441.85,0.00021669
2025-02,BROKERAGE,B004,BOND,INSTITUTION,322305.31,74130.22,77353.27,170821.82,1859243201.09,0.00017335
2025-02,BROKERAGE,B004,ETF,INSTITUTION,684898.79,157526.72,164375.71,362996.36,3469075728.86,0.00019743
2025-02,BROKERAGE,B005,STOCK,RETAIL,7043681.88,1620046.83,1690483.65,3733151.4,18871318491.05,0.00037325
2025-02,BROKERAGE,B005,FUND,RETAIL,2064527.45,474841.31,495486.59,1094199.55,6145831692.49,0.00033592
2025-02,BROKERAGE,B005,BOND,RETAIL,971542.33,223454.74,233170.16,514917.43,3615195113.23,0.00026874
2025-02,BROKERAGE,B005,ETF,RETAIL,2064527.45,474841.31,495486.59,1094199.55,6745425028.34,0.00030606
2025-02,BROKERAGE,B005,STOCK,HNW,3144500.84,723235.19,754680.2,1666585.45,9679437675.88,0.00032486
2025-02,BROKERAGE,B005,FUND,HNW,921664.04,211982.73,221199.37,488481.94,3152307289.08,0.00029238
2025-02,BROKERAGE,B005,BOND,HNW,433724.25,99756.58,104093.82,229873.85,1854298405.34,0.0002339
2025-02,BROKERAGE,B005,ETF,HNW,921664.04,211982.73,221199.37,488481.94,3459849463.62,0.00026639
2025-02,BROKERAGE,B005,STOCK,INSTITUTION,2103042.16,483699.7,504730.12,1114612.35,8734724558.72,0.00024077
2025-02,BROKERAGE,B005,FUND,INSTITUTION,616408.91,141774.05,147938.14,326696.72,2844642097.67,0.00021669
2025-02,BROKERAGE,B005,BOND,INSTITUTION,290074.78,66717.2,69617.95,153739.63,1673318880.98,0.00017335
2025-02,BROKERAGE,B005,ETF,INSTITUTION,616408.91,141774.05,147938.14,326696.72,3122168155.98,0.00019743
2025-02,BROKERAGE,B006,STOCK,RETAIL,6261050.56,1440041.63,1878315.17,2942693.76,16774505325.38,0.00037325
2025-02,BROKERAGE,B006,FUND,RETAIL,1835135.51,422081.17,550540.65,862513.69,5462961504.43,0.00033592
