period,branch_id,branch_name,customer_segment,product_type,budget_revenue,actual_revenue,budget_trade_volume,actual_trade_volume,budget_commission_rate,actual_commission_rate,total_variance,volume_effect,rate_effect,mix_effect,explanation
2025-01,B004,广州营业部,RETAIL,BOND,1379472.37,1193983.0,4927813390.97,4442916553.29,0.00027994,0.00026874,-185489.37,-135742.02,-49760.67,13.32,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,RETAIL,ETF,2931378.79,2537213.87,9194578644.12,8289832105.54,0.00031882,0.00030606,-394164.92,-288451.29,-105778.26,64.63,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,HNW,STOCK,4464810.12,3864453.9,13193883345.8,11895605224.57,0.0003384,0.00032486,-600356.22,-439337.32,-161066.49,47.59,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,HNW,FUND,1308651.24,1132684.76,4296858560.89,3874047678.5,0.00030456,0.00029238,-175966.48,-128771.28,-47185.9,-9.3,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,HNW,BOND,615835.88,533028.12,2527563859.35,2278851575.59,0.00024365,0.0002339,-82807.76,-60598.75,-22218.8,9.79,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,HNW,ETF,1308651.24,1132684.76,4716064274.15,4252003549.57,0.00027749,0.00026639,-175966.48,-128772.21,-47197.24,2.97,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,INSTITUTION,STOCK,3393255.69,2584546.77,12402250345.05,10734594154.65,0.0002736,0.00024077,-808708.92,-456270.73,-352416.73,-21.46,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,INSTITUTION,FUND,994574.94,757539.57,4039047047.24,3495940625.08,0.00024624,0.00021669,-237035.37,-133734.53,-103305.05,4.2,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,INSTITUTION,BOND,468035.27,356489.21,2375910027.79,2056435661.81,0.00019699,0.00017335,-111546.06,-62933.26,-48614.14,1.33,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,INSTITUTION,ETF,994574.94,757539.57,4433100417.7,3837008003.13,0.00022435,0.00019743,-237035.37,-133733.33,-103292.26,-9.78,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,RETAIL,STOCK,9001057.21,7790739.05,23150867310.76,20872821967.38,0.0003888,0.00037325,-1210318.16,-885704.03,-324572.38,-41.75,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,RETAIL,FUND,2638240.91,2283492.48,7539554488.18,6797662326.54,0.00034992,0.00033592,-354748.43,-259602.91,-95167.27,21.75,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,RETAIL,BOND,1241525.13,1074584.7,4435032051.87,3998624897.97,0.00027994,0.00026874,-166940.43,-122167.82,-44784.6,11.99,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,RETAIL,ETF,2638240.91,2283492.48,8275120779.71,7460848894.98,0.00031882,0.00030606,-354748.43,-259606.16,-95200.43,58.16,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,HNW,STOCK,4018329.11,3478008.51,11874495011.22,10706044702.11,0.0003384,0.00032486,-540320.6,-395403.58,-144959.85,42.83,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,HNW,FUND,1177786.12,1019416.29,3867172704.8,3486642910.65,0.00030456,0.00029238,-158369.83,-115894.15,-42467.31,-8.37,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,HNW,BOND,554252.29,479725.31,2274807473.41,2050966418.03,0.00024365,0.0002339,-74526.98,-54538.87,-19996.92,8.82,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,HNW,ETF,1177786.12,1019416.29,4244457846.73,3826803194.62,0.00027749,0.00026639,-158369.83,-115894.99,-42477.52,2.67,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,INSTITUTION,STOCK,3053930.12,2326092.09,11162025310.54,9661134739.19,0.0002736,0.00024077,-727838.03,-410643.66,-317175.05,-19.32,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,INSTITUTION,FUND,895117.45,681785.61,3635142342.51,3146346562.57,0.00024624,0.00021669,-213331.84,-120361.07,-92974.54,3.77,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,INSTITUTION,BOND,421231.74,320840.29,2138319025.01,1850792095.63,0.00019699,0.00017335,-100391.45,-56639.93,-43752.73,1.2,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B005,杭州营业部,INSTITUTION,ETF,895117.45,681785.61,3989790375.93,3453307202.82,0.00022435,0.00019743,-213331.84,-120360.0,-92963.03,-8.81,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,RETAIL,STOCK,8000939.74,6925101.38,20578548720.67,18553619526.56,0.0003888,0.00037325,-1075838.36,-787292.47,-288508.78,-37.11,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,RETAIL,FUND,2345103.03,2029771.09,6701826211.71,6042366512.48,0.00034992,0.00033592,-315331.94,-230758.14,-84593.13,19.33,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,RETAIL,BOND,1103577.9,955186.4,3942250712.77,3554333242.64,0.00027994,0.00026874,-148391.5,-108593.62,-39808.53,10.65,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,RETAIL,ETF,2345103.03,2029771.09,7355662915.29,6631865684.43,0.00031882,0.00030606,-315331.94,-230761.03,-84622.61,51.7,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,HNW,STOCK,3571848.1,3091563.12,10555106676.64,9516484179.66,0.0003384,0.00032486,-480284.98,-351469.85,-128853.2,38.07,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,HNW,FUND,1046920.99,906147.81,3437486848.71,3099238142.8,0.00030456,0.00029238,-140773.18,-103017.03,-37748.72,-7.43,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,HNW,BOND,492668.7,426422.5,2022051087.48,1823081260.47,0.00024365,0.0002339,-66246.2,-48479.0,-17775.04,7.84,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,HNW,ETF,1046920.99,906147.81,3772851419.32,3401602839.66,0.00027749,0.00026639,-140773.18,-103017.77,-37757.79,2.38,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,INSTITUTION,STOCK,2714604.56,2067637.41,9921800276.04,8587675323.72,0.0002736,0.00024077,-646967.15,-365016.59,-281933.38,-17.18,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,INSTITUTION,FUND,795659.96,606031.66,3231237637.79,2796752500.06,0.00024624,0.00021669,-189628.3,-106987.62,-82644.04,3.36,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,INSTITUTION,BOND,374428.21,285191.37,1900728022.23,1645148529.45,0.00019699,0.00017335,-89236.84,-50346.6,-38891.31,1.08,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B006,成都营业部,INSTITUTION,ETF,795659.96,606031.66,3546480334.16,3069606402.51,0.00022435,0.00019743,-189628.3,-106986.67,-82633.8,-7.83,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,RETAIL,STOCK,11001292.15,9522014.4,28295504490.92,25511226849.02,0.0003888,0.00037325,-1479277.75,-1082527.15,-396699.58,-51.03,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,RETAIL,FUND,3224516.66,2790935.25,9215011041.11,8308253954.66,0.00034992,0.00033592,-433581.41,-317292.44,-116315.56,26.59,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,RETAIL,BOND,1517419.61,1313381.3,5420594730.06,4887208208.62,0.00027994,0.00026874,-204038.31,-149316.22,-54736.73,14.64,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,RETAIL,ETF,3224516.66,2790935.25,10114036508.53,9118815316.09,0.00031882,0.00030606,-433581.41,-317296.42,-116356.08,71.09,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,HNW,STOCK,4911291.14,4250899.29,14513271680.38,13085165747.03,0.0003384,0.00032486,-660391.85,-483271.05,-177173.14,52.34,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,HNW,FUND,1439516.37,1245953.24,4726544416.98,4261452446.35,0.00030456,0.00029238,-193563.13,-141648.41,-51904.49,-10.23,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,HNW,BOND,677419.47,586330.94,2780320245.28,2506736733.15,0.00024365,0.0002339,-91088.53,-66658.62,-24440.68,10.78,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,HNW,ETF,1439516.37,1245953.24,5187670701.56,4677203904.53,0.00027749,0.00026639,-193563.13,-141649.43,-51916.96,3.26,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,INSTITUTION,STOCK,3732581.26,2843001.44,13642475379.55,11808053570.12,0.0002736,0.00024077,-889579.82,-501897.81,-387658.4,-23.61,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,INSTITUTION,FUND,1094032.44,833293.53,4442951751.96,3845534687.59,0.00024624,0.00021669,-260738.91,-147107.98,-113635.55,4.62,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,INSTITUTION,BOND,514838.8,392138.13,2613501030.57,2262079227.99,0.00019699,0.00017335,-122700.67,-69226.58,-53475.55,1.46,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B007,武汉营业部,INSTITUTION,ETF,1094032.44,833293.53,4876410459.47,4220708803.45,0.00022435,0.00019743,-260738.91,-147106.67,-113621.48,-10.76,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,RETAIL,STOCK,7000822.27,6059463.71,18006230130.59,16234417085.74,0.0003888,0.00037325,-941358.56,-688880.91,-252445.19,-32.46,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,RETAIL,FUND,2051965.15,1776049.71,5864097935.25,5287070698.42,0.00034992,0.00033592,-275915.44,-201913.37,-74018.99,16.92,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,RETAIL,BOND,965630.66,835788.1,3449469373.68,3110041587.31,0.00027994,0.00026874,-129842.56,-95019.41,-34832.47,9.32,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,RETAIL,ETF,2051965.15,1776049.71,6436205050.88,5802882473.88,0.00031882,0.00030606,-275915.44,-201915.9,-74044.78,45.24,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,HNW,STOCK,3125367.09,2705117.73,9235718342.06,8326923657.2,0.0003384,0.00032486,-420249.36,-307536.12,-112746.55,33.31,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,HNW,FUND,916055.87,792879.33,3007800992.62,2711833374.95,0.00030456,0.00029238,-123176.54,-90139.9,-33030.13,-6.51,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,HNW,BOND,431085.12,373119.69,1769294701.54,1595196102.91,0.00024365,0.0002339,-57965.43,-42419.12,-15553.16,6.86,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,HNW,ETF,916055.87,792879.33,3301244991.9,2976402484.7,0.00027749,0.00026639,-123176.54,-90140.55,-33038.07,2.07,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,INSTITUTION,STOCK,2375278.99,1809182.74,8681575241.53,7514215908.26,0.0002736,0.00024077,-566096.25,-319389.51,-246691.71,-15.03,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,INSTITUTION,FUND,696202.46,530277.7,2827332933.07,2447158437.55,0.00024624,0.00021669,-165924.76,-93614.17,-72313.53,2.94,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,INSTITUTION,BOND,327624.69,249542.45,1663137019.45,1439504963.27,0.00019699,0.00017335,-78082.24,-44053.28,-34029.9,0.94,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B008,南京营业部,INSTITUTION,ETF,696202.46,530277.7,3103170292.39,2685905602.19,0.00022435,0.00019743,-165924.76,-93613.33,-72304.58,-6.85,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B009,重庆营业部,RETAIL,STOCK,5000587.34,4328188.36,12861592950.42,11596012204.1,0.0003888,0.00037325,-672398.98,-492057.79,-180317.99,-23.2,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B009,重庆营业部,RETAIL,FUND,1465689.39,1268606.93,4188641382.32,3776479070.3,0.00034992,0.00033592,-197082.46,-144223.84,-52870.71,12.08,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B009,重庆营业部,RETAIL,BOND,689736.18,596991.5,2463906695.48,2221458276.65,0.00027994,0.00026874,-92744.68,-67871.01,-24880.33,6.66,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B009,重庆营业部,RETAIL,ETF,1465689.39,1268606.93,4597289322.06,4144916052.77,0.00031882,0.00030606,-197082.46,-144225.65,-52889.13,32.31,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B009,重庆营业部,HNW,STOCK,2232405.06,1932226.95,6596941672.9,5947802612.28,0.0003384,0.00032486,-300178.11,-219668.66,-80533.25,23.8,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B009,重庆营业部,HNW,FUND,654325.62,566342.38,2148429280.45,1937023839.25,0.00030456,0.00029238,-87983.24,-64385.64,-23592.95,-4.65,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B009,重庆营业部,HNW,BOND,307917.94,266514.06,1263781929.67,1139425787.79,0.00024365,0.0002339,-41403.88,-30299.37,-11109.4,4.9,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B009,重庆营业部,HNW,ETF,654325.62,566342.38,2358032137.07,2126001774.79,0.00027749,0.00026639,-87983.24,-64386.11,-23598.62,1.48,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B009,重庆营业部,INSTITUTION,STOCK,1696627.85,1292273.38,6201125172.52,5367297077.33,0.0002736,0.00024077,-404354.47,-228135.37,-176208.36,-10.74,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B009,重庆营业部,INSTITUTION,FUND,497287.47,378769.78,2019523523.62,1747970312.54,0.00024624,0.00021669,-118517.69,-66867.26,-51652.52,2.1,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
