period,branch_id,revenue,direct_cost,allocated_expense,operating_profit,operating_margin,profit_rank
2025-04,B007,86146664.73,20521555.65,20546566.53,45078542.57,0.5233,4
2025-04,B008,54820604.83,13059171.77,13075087.79,28686345.28,0.5233,8
2025-04,B009,39157574.88,9327979.83,10204606.4,19624988.64,0.5012,9
2025-05,B001,126634752.94,30480434.12,30378534.81,65775784.01,0.5194,2
2025-05,B002,190648520.51,45835673.12,76239159.54,68573687.84,0.3597,1
2025-05,B003,108253346.26,25787731.6,25819160.71,56646453.96,0.5233,3
2025-05,B004,83271804.82,19836716.62,19860892.85,43574195.34,0.5233,5
2025-05,B005,75980851.77,18288260.47,18227120.89,39465470.41,0.5194,6
2025-05,B006,66617443.85,15869373.29,17360748.11,33387322.45,0.5012,7
2025-05,B007,91598985.29,21820388.28,21846982.13,47931614.88,0.5233,4
2025-05,B008,58290263.36,13885701.64,13902624.99,30501936.75,0.5233,8
2025-05,B009,41635902.4,9918358.3,10850467.56,20867076.54,0.5012,9
2025-06,B001,123619639.77,29754709.5,29655236.37,64209693.89,0.5194,2
2025-06,B002,186109270.02,44744347.56,74423941.46,66940980.97,0.3597,1
2025-06,B003,105675885.61,25173737.99,25204418.78,55297728.87,0.5233,3
2025-06,B004,81289142.79,19364413.84,19388014.44,42536714.52,0.5233,5
2025-06,B005,74171783.87,17852825.7,17793141.81,38525816.34,0.5194,6
2025-06,B006,65031314.23,15491531.07,16947396.97,32592386.21,0.5012,7
2025-06,B007,89418057.06,21300855.22,21326815.89,46790385.96,0.5233,4
2025-06,B008,56902399.96,13555089.69,13571610.1,29775700.17,0.5233,8
2025-06,B009,40644571.39,9682206.93,10592123.11,20370241.38,0.5012,9
2025-07,B001,114248481.4,27518721.59,27406980.12,59322779.68,0.5192,2
2025-07,B002,171876203.81,41352497.49,68731920.27,61791786.05,0.3595,1
2025-07,B003,97643308.65,23273301.12,23286221.88,51083785.66,0.5232,3
2025-07,B004,75110237.43,17902539.32,17912478.37,39295219.75,0.5232,5
2025-07,B005,68549088.84,16511232.96,16444188.07,35593667.81,0.5192,6
2025-07,B006,60088189.95,14322031.47,15620679.01,30145479.48,0.5017,7
2025-07,B007,82621261.18,19692793.25,19703726.2,43224741.71,0.5232,4
2025-07,B008,52577166.2,12531777.53,12538734.86,27506653.82,0.5232,8
2025-07,B009,37555118.72,8951269.66,9762924.38,18840924.66,0.5017,9
2025-08,B001,117215974.41,28233493.59,28118849.75,60863631.08,0.5192,2
2025-08,B002,176340520.8,42426588.34,70517164.95,63396767.51,0.3595,1
2025-08,B003,100179498.5,23877802.46,23891058.81,52410637.23,0.5232,3
2025-08,B004,77061152.69,18367540.35,18377737.54,40315874.79,0.5232,5
2025-08,B005,70329584.65,16940096.15,16871309.85,36518178.66,0.5192,6
2025-08,B006,61648922.16,14694032.28,16026410.95,30928478.93,0.5017,7
2025-08,B007,84767267.95,20204294.39,20215511.3,44347462.28,0.5232,4
2025-08,B008,53942806.88,12857278.24,12864416.28,28221112.36,0.5232,8
2025-08,B009,38530576.34,9183770.17,10016506.84,19330299.32,0.5017,9
2025-09,B001,133537186.05,32164739.54,32034132.62,69338313.9,0.5192,2
2025-09,B002,200894264.2,48334087.97,80336010.7,72224165.52,0.3595,1
2025-09,B003,114128542.59,27202559.76,27217661.93,59708320.91,0.5232,3
2025-09,B004,87791186.6,20925045.96,20936663.01,45929477.62,0.5232,5
2025-09,B005,80122311.63,19298843.72,19220479.56,41602988.35,0.5192,6
2025-09,B006,70232949.29,16740036.77,18257936.52,35234976.0,0.5017,7
2025-09,B007,96570305.26,23017550.55,23030329.32,50522425.39,0.5232,4
2025-09,B008,61453830.63,14647532.19,14655664.12,32150634.34,0.5232,8
2025-09,B009,43895593.31,10462522.97,11411210.32,22021859.99,0.5017,9
2025-10,B001,130569693.01,31449967.52,31322263.0,67797462.48,0.5192,2
2025-10,B002,196429947.21,47259997.14,78550766.03,70619184.05,0.3595,1
2025-10,B003,111592352.75,26598058.43,26612825.0,58381469.34,0.5232,3
2025-10,B004,85840271.34,20460044.95,20471403.85,44908822.57,0.5232,5
2025-10,B005,78341815.82,18869980.51,18793357.81,40678477.49,0.5192,6
2025-10,B006,68672217.08,16368035.95,17852204.59,34451976.53,0.5017,7
2025-10,B007,94424298.49,22506049.44,22518544.22,49399704.81,0.5232,4
2025-10,B008,60088189.95,14322031.47,14329982.68,31436175.81,0.5232,8
2025-10,B009,42920135.67,10230022.47,11157627.87,21532485.33,0.5017,9
2025-11,B001,143923411.62,34666441.49,34525676.27,74731293.87,0.5192,2
2025-11,B002,216519373.63,52093405.91,86584367.09,77841600.61,0.3595,1
2025-11,B003,123005207.01,29318314.4,29334591.2,64352301.42,0.5232,3
2025-11,B004,94619390.01,22552549.53,22565070.14,49501770.32,0.5232,5
2025-11,B005,86354046.98,20799864.9,20715405.77,44838776.32,0.5192,6
2025-11,B006,75695512.0,18042039.63,19677998.25,37975474.12,0.5017,7
2025-11,B007,104081329.02,24807804.49,24821577.16,54451947.35,0.5232,4
2025-11,B008,66233572.99,15786784.69,15795549.11,34651239.23,0.5232,8
2025-11,B009,47309695.0,11276274.77,12298748.91,23734671.33,0.5017,9
2025-12,B001,154309637.2,37168143.45,37017219.93,80124273.84,0.5192,2
2025-12,B002,232144483.07,55852723.88,92832723.47,83459035.71,0.3595,1
2025-12,B003,131881871.43,31434069.06,31451520.45,68996281.95,0.5232,3
2025-12,B004,101447593.42,24180053.11,24193477.26,53074063.03,0.5232,5
2025-12,B005,92585782.33,22300886.07,22210331.95,48074564.31,0.5192,6
2025-12,B006,81158074.72,19344042.49,21098059.98,40715972.27,0.5017,7
2025-12,B007,111592352.75,26598058.43,26612825.0,58381469.34,0.5232,4
2025-12,B008,71013315.39,16926037.19,16935434.08,37151844.11,0.5232,8
2025-12,B009,50723796.7,12090026.55,13186287.48,25447482.67,0.5017,9
