period,branch_id,salary_expense,rent_expense,marketing_expense,it_allocated_expense,market_data_allocated_expense,hq_allocated_expense,total_expense
2025-06,B001,14834356.77,4326687.39,8653374.78,7413809.09,5337942.55,16903484.73,57469655.32
2025-06,B002,18610927.0,6513824.45,7444370.8,26792618.93,13396309.46,34235013.07,106993063.71
2025-06,B003,12681106.27,3698656.0,4227035.42,6301104.7,4536795.38,14366518.7,45811216.47
2025-06,B004,9754697.13,2276096.0,3251565.71,4847003.61,3489842.6,11051168.23,34670373.28
2025-06,B005,8900614.06,2076809.95,5192024.87,4448285.45,3202765.53,10142090.83,33962590.69
2025-06,B006,7803757.71,1820876.8,2601252.57,4236849.24,3050531.45,9660016.27,29173284.05
2025-06,B007,10730166.85,2503705.6,3576722.28,5331703.97,3838826.86,12156285.06,38137410.62
2025-06,B008,6828288.0,1593267.2,2276096.0,3392902.52,2442889.82,7735817.76,24269261.29
2025-06,B009,4877348.57,1138048.0,1625782.86,2648030.78,1906582.16,6037510.17,18233302.53
2025-07,B001,13709817.77,3998696.85,7997393.7,6851745.03,4933256.42,15621978.67,53112888.44
2025-07,B002,17187620.38,6015667.13,6875048.15,24743491.3,12371745.65,31616683.32,98810255.94
2025-07,B003,11717197.04,3417515.8,3905732.35,5821555.47,4191519.94,13273146.47,42326667.07
2025-07,B004,9013228.49,2103086.65,3004409.5,4478119.59,3224246.11,10210112.67,32033203.01
2025-07,B005,8225890.66,1919374.49,4798436.22,4111047.02,2959953.85,9373187.2,31387889.44
2025-07,B006,7210582.79,1682469.32,2403527.6,3905169.75,2811722.22,8903787.04,26917258.72
2025-07,B007,9914551.34,2313395.31,3304850.45,4925931.55,3546670.72,11231123.93,35236523.3
2025-07,B008,6309259.94,1472160.65,2103086.65,3134683.71,2256972.27,7147078.87,22423242.11
2025-07,B009,4506614.25,1051543.32,1502204.75,2440731.09,1757326.39,5564866.9,16823286.7
2025-08,B001,14065916.93,4102559.1,8205118.21,7029712.44,5061392.96,16027744.36,54492443.99
2025-08,B002,17634052.08,6171918.23,7053620.83,25386179.38,12693089.69,32437895.88,101376756.09
2025-08,B003,12021539.82,3506282.45,4007179.94,5972764.7,4300390.59,13617903.52,43426061.02
2025-08,B004,9247338.32,2157712.28,3082446.11,4594434.38,3307992.76,10475310.4,32865234.25
2025-08,B005,8439550.16,1969228.37,4923070.93,4217827.46,3036835.77,9616646.61,32203159.3
2025-08,B006,7397870.66,1726169.82,2465956.89,4006602.74,2884753.97,9135054.24,27616408.32
2025-08,B007,10172072.15,2373483.5,3390690.72,5053877.82,3638792.03,11522841.44,36151757.67
2025-08,B008,6473136.83,1510398.59,2157712.28,3216104.07,2315594.93,7332717.28,23005663.97
2025-08,B009,4623669.16,1078856.14,1541223.05,2504126.71,1802971.23,5709408.9,17260255.19
2025-09,B001,16024462.33,4673801.51,9347603.02,8008533.16,5766143.87,18259455.59,62079999.48
2025-09,B002,20089426.42,7031299.25,8035770.57,28920963.85,14460481.93,36954564.92,115492506.94
2025-09,B003,13695425.11,3994498.99,4565141.7,6804415.48,4899179.15,15514067.3,49472727.74
2025-09,B004,10534942.39,2458153.22,3511647.46,5234165.75,3768599.34,11933897.92,37441406.09
2025-09,B005,9614677.4,2243424.73,5608561.81,4805119.89,3459686.32,10955673.35,36687143.5
2025-09,B006,8427953.91,1966522.58,2809317.97,4564484.13,3286428.57,10407023.82,31461730.99
2025-09,B007,11588436.63,2703968.55,3862812.21,5757582.33,4145459.28,13127287.71,41185546.71
2025-09,B008,7374459.68,1720707.26,2458153.23,3663916.03,2638019.54,8353728.55,26208984.28
2025-09,B009,5267471.2,1229076.61,1755823.73,2852802.58,2054017.86,6504389.88,19663581.86
2025-10,B001,15668363.16,4569939.26,9139878.51,7830565.75,5638007.34,17853689.91,60700443.93
2025-10,B002,19642994.72,6875048.15,7857197.89,28278275.77,14139137.89,36133352.37,112926006.79
2025-10,B003,13391082.33,3905732.35,4463694.11,6653206.25,4790308.5,15169310.25,48373333.79
2025-10,B004,10300832.56,2403527.6,3433610.85,5117850.96,3684852.69,11668700.19,36609374.86
2025-10,B005,9401017.9,2193570.84,5483927.11,4698339.45,3382804.41,10712213.95,35871873.66
2025-10,B006,8240666.05,1922822.08,2746888.68,4463051.15,3213396.83,10175756.62,30762581.4
2025-10,B007,11330915.82,2643880.36,3776971.94,5629636.05,4053337.96,12835570.21,40270312.34
2025-10,B008,7210582.79,1682469.32,2403527.6,3582495.67,2579396.88,8168090.13,25626562.39
2025-10,B009,5150416.28,1201763.8,1716805.43,2789406.97,2008373.02,6359847.89,19226613.38
2025-11,B001,17270809.39,5037319.41,10074638.81,8631419.07,6214621.73,19679635.47,66908443.88
2025-11,B002,21651937.36,7578178.08,8660774.95,31170372.15,15585186.08,39828808.86,124475257.48
2025-11,B003,14760624.84,4305182.25,4920208.28,7333647.8,5280226.42,16720716.98,53320606.57
2025-11,B004,11354326.8,2649342.92,3784775.6,5641267.54,4061712.63,12862089.98,40353515.46
2025-11,B005,10362485.64,2417913.32,6044783.29,5178851.44,3728773.04,11807781.29,39540588.01
2025-11,B006,9083461.44,2119474.34,3027820.48,4919499.56,3542039.69,11216459.0,33908754.51
2025-11,B007,12489759.48,2914277.21,4163253.16,6205394.29,4467883.89,14148298.98,44388867.02
2025-11,B008,7948028.76,1854540.04,2649342.92,3948887.28,2843198.84,9003462.99,28247460.83
2025-11,B009,5677163.4,1324671.46,1892387.8,3074687.23,2213774.8,7010286.88,21192971.57
2025-12,B001,18517156.46,5400837.3,10801674.6,9254304.98,6663099.59,21099815.36,71736888.3
2025-12,B002,23214448.31,8125056.91,9285779.32,33419780.45,16709890.22,42703052.8,133458008.01
2025-12,B003,15825824.57,4615865.5,5275274.86,7862880.11,5661273.68,17927366.66,57168485.38
2025-12,B004,12173711.21,2840532.62,4057903.74,6048369.32,4354825.91,13790282.04,43265624.82
2025-12,B005,11110293.88,2592401.91,6481004.76,5552582.99,3997859.75,12659889.21,42394032.5
2025-12,B006,9738968.97,2272426.09,3246322.99,5274515.0,3797650.8,12025894.19,36355778.03
2025-12,B007,13391082.33,3124585.88,4463694.11,6653206.25,4790308.5,15169310.25,47592187.32
2025-12,B008,8521597.85,1988372.83,2840532.62,4233858.52,3048378.13,9653197.43,30285937.37
2025-12,B009,6086855.6,1420266.31,2028951.87,3296571.87,2373531.75,7516183.86,22722361.26
