period,branch_id,customer_segment,product_type,trade_volume,avg_commission_rate,commission_income,active_customers,new_customers,churn_customers
2025-02,B001,INSTITUTION,STOCK,13595715907.96,0.00026957,4698679.42,419,5,22
2025-02,B002,RETAIL,STOCK,129165601683.48,0.00028665,35262209.26,2472,96,27
2025-02,B002,HNW,ETF,52082903904.63,0.00025935,14218632.77,513,14,11
2025-02,B002,INSTITUTION,STOCK,27083110030.41,0.00021294,7393689.04,497,29,4
2025-02,B003,RETAIL,STOCK,59153290266.23,0.00034474,19421208.26,2691,102,83
2025-02,B003,HNW,ETF,23852133171.87,0.0003119,7831132.36,737,32,39
2025-02,B003,INSTITUTION,STOCK,12403109249.37,0.00025609,4072188.83,526,18,21
2025-02,B004,RETAIL,STOCK,43227404425.32,0.00036288,14939390.97,2698,73,40
2025-02,B004,HNW,ETF,17430405010.21,0.00032832,6023947.97,474,46,12
2025-02,B004,INSTITUTION,STOCK,9063810605.31,0.00026957,3132452.95,278,23,6
2025-02,B005,RETAIL,STOCK,38904663982.78,0.00036288,13445451.87,1824,80,103
2025-02,B005,HNW,ETF,15687364509.19,0.00032832,5421553.17,1050,51,29
2025-02,B005,INSTITUTION,STOCK,8157429544.78,0.00026957,2819207.65,488,33,7
2025-02,B006,RETAIL,STOCK,34581923540.26,0.00036288,11951512.78,1471,41,47
2025-02,B006,HNW,ETF,13944324008.17,0.00032832,4819158.38,828,53,22
2025-02,B006,INSTITUTION,STOCK,7251048484.25,0.00026957,2505962.36,416,7,3
2025-02,B007,RETAIL,STOCK,47550144867.85,0.00036288,16433330.06,682,115,14
2025-02,B007,HNW,ETF,19173445511.23,0.00032832,6626342.77,996,12,18
2025-02,B007,INSTITUTION,STOCK,9970191665.84,0.00026957,3445698.24,476,11,20
2025-02,B008,RETAIL,STOCK,30259183097.73,0.00036288,10457573.68,2294,125,104
2025-02,B008,HNW,ETF,12201283507.15,0.00032832,4216763.58,1028,18,10
2025-02,B008,INSTITUTION,STOCK,6344667423.72,0.00026957,2192717.06,317,4,4
2025-02,B009,RETAIL,STOCK,21613702212.66,0.00036288,7469695.48,1173,132,108
2025-02,B009,HNW,ETF,8715202505.1,0.00032832,3011973.98,447,21,41
2025-02,B009,INSTITUTION,STOCK,4531905302.65,0.00026957,1566226.47,467,12,18
2025-03,B001,RETAIL,STOCK,79577721782.98,0.00036288,27502060.65,2169,143,66
2025-03,B001,HNW,ETF,32087791041.52,0.00032832,11089540.59,815,39,7
2025-03,B001,INSTITUTION,STOCK,16685651341.59,0.00026957,5766561.1,416,31,20
2025-03,B002,RETAIL,STOCK,158521420247.91,0.00028665,43276347.73,729,91,107
2025-03,B002,HNW,ETF,63919927519.32,0.00025935,17450140.21,1046,33,17
2025-03,B002,INSTITUTION,STOCK,33238362310.05,0.00021294,9074072.91,353,17,19
2025-03,B003,RETAIL,STOCK,72597219872.19,0.00034474,23835119.23,1168,128,105
2025-03,B003,HNW,ETF,29273072529.11,0.0003119,9610935.17,707,19,37
2025-03,B003,INSTITUTION,STOCK,15221997715.14,0.00025609,4997686.29,179,27,4
2025-03,B004,RETAIL,STOCK,53051814521.98,0.00036288,18334707.1,1491,151,107
2025-03,B004,HNW,ETF,21391860694.35,0.00032832,7393027.05,1007,8,8
2025-03,B004,INSTITUTION,STOCK,11123767561.06,0.00026957,3844374.07,344,10,11
2025-03,B005,RETAIL,STOCK,47746633069.78,0.00036288,16501236.39,1755,123,95
2025-03,B005,HNW,ETF,19252674624.91,0.00032832,6653724.35,1107,49,23
2025-03,B005,INSTITUTION,STOCK,10011390804.95,0.00026957,3459936.66,222,30,13
2025-03,B006,RETAIL,STOCK,42441451617.58,0.00036288,14667765.68,2353,118,27
2025-03,B006,HNW,ETF,17113488555.48,0.00032832,5914421.64,1005,37,36
2025-03,B006,INSTITUTION,STOCK,8899014048.85,0.00026957,3075499.26,477,27,20
2025-03,B007,RETAIL,STOCK,58356995974.18,0.00036288,20168177.81,1886,143,51
2025-03,B007,HNW,ETF,23531046763.78,0.00032832,8132329.76,850,25,12
2025-03,B007,INSTITUTION,STOCK,12236144317.17,0.00026957,4228811.48,247,15,18
2025-03,B008,RETAIL,STOCK,37136270165.39,0.00036288,12834294.97,1873,35,22
2025-03,B008,HNW,ETF,14974302486.04,0.00032832,5175118.94,376,43,22
2025-03,B008,INSTITUTION,STOCK,7786637292.74,0.00026957,2691061.85,539,22,13
2025-03,B009,RETAIL,STOCK,26525907260.99,0.00036288,9167353.55,2404,48,17
2025-03,B009,HNW,ETF,10695930347.17,0.00032832,3696513.53,1008,9,42
2025-03,B009,INSTITUTION,STOCK,5561883780.53,0.00026957,1922187.03,126,18,14
2025-04,B001,RETAIL,STOCK,77612839763.64,0.00036288,26822997.42,1373,132,66
2025-04,B001,HNW,ETF,31295499904.69,0.00032832,10815724.77,1014,46,40
2025-04,B001,INSTITUTION,STOCK,16273659950.44,0.00026957,5624176.88,467,7,11
2025-04,B002,RETAIL,STOCK,154607311105.98,0.00028665,42207795.93,1109,75,75
2025-04,B002,HNW,ETF,62341657704.03,0.00025935,17019272.55,403,17,27
2025-04,B002,INSTITUTION,STOCK,32417662006.09,0.00021294,8850021.73,428,15,20
2025-04,B003,RETAIL,STOCK,70804695924.73,0.00034474,23246597.77,1985,66,107
2025-04,B003,HNW,ETF,28550280614.81,0.0003119,9373628.13,495,22,29
2025-04,B003,INSTITUTION,STOCK,14846145919.7,0.00025609,4874286.63,117,4,5
2025-04,B004,RETAIL,STOCK,51741893175.76,0.00036288,17881998.28,2470,152,97
2025-04,B004,HNW,ETF,20863666603.13,0.00032832,7210483.18,463,38,10
2025-04,B004,INSTITUTION,STOCK,10849106633.63,0.00026957,3749451.25,195,13,11
2025-04,B005,RETAIL,STOCK,46567703858.19,0.00036288,16093798.45,1319,53,25
2025-04,B005,HNW,ETF,18777299942.82,0.00032832,6489434.86,849,40,8
2025-04,B005,INSTITUTION,STOCK,9764195970.27,0.00026957,3374506.13,196,23,3
2025-04,B006,RETAIL,STOCK,41393514540.61,0.00036288,14305598.63,2589,61,44
2025-04,B006,HNW,ETF,16690933282.5,0.00032832,5768386.54,529,63,16
2025-04,B006,INSTITUTION,STOCK,8679285306.9,0.00026957,2999561.0,138,10,17
2025-04,B007,RETAIL,STOCK,56916082493.34,0.00036288,19670198.11,2562,148,12
2025-04,B007,HNW,ETF,22950033263.44,0.00032832,7931531.5,841,34,11
2025-04,B007,INSTITUTION,STOCK,11934017296.99,0.00026957,4124396.38,130,13,8
2025-04,B008,RETAIL,STOCK,36219325223.03,0.00036288,12517398.8,1097,150,83
2025-04,B008,HNW,ETF,14604566622.19,0.00032832,5047338.22,710,26,30
2025-04,B008,INSTITUTION,STOCK,7594374643.54,0.00026957,2624615.88,281,4,13
2025-04,B009,RETAIL,STOCK,25870946587.88,0.00036288,8940999.14,601,53,75
2025-04,B009,HNW,ETF,10431833301.57,0.00032832,3605241.59,1013,52,26
2025-04,B009,INSTITUTION,STOCK,5424553316.81,0.00026957,1874725.63,547,23,9
2025-05,B001,RETAIL,STOCK,82525044811.98,0.00036288,28520655.49,2760,84,88
2025-05,B001,HNW,ETF,33276227746.76,0.00032832,11500264.31,594,13,38
2025-05,B001,INSTITUTION,STOCK,17303638428.32,0.00026957,5980137.44,185,10,12
2025-05,B002,RETAIL,STOCK,164392583960.79,0.00028665,44879175.42,1455,69,95
2025-05,B002,HNW,ETF,66287332242.25,0.00025935,18096441.7,862,52,37
2025-05,B002,INSTITUTION,STOCK,34469412765.97,0.00021294,9410149.69,453,23,11
2025-05,B003,RETAIL,STOCK,75286005793.38,0.00034474,24717901.42,1280,136,45
2025-05,B003,HNW,ETF,30357260400.56,0.0003119,9966895.73,1117,64,24
2025-05,B003,INSTITUTION,STOCK,15785775408.29,0.00025609,5182785.78,283,20,2
2025-05,B004,RETAIL,STOCK,55016696541.31,0.00036288,19013770.32,2509,102,50
2025-05,B004,HNW,ETF,22184151831.17,0.00032832,7666842.87,388,55,26
2025-05,B004,INSTITUTION,STOCK,11535758952.21,0.00026957,3986758.29,469,14,20
2025-05,B005,RETAIL,STOCK,49515026887.18,0.00036288,17112393.29,2283,148,60
2025-05,B005,HNW,ETF,19965736648.06,0.00032832,6900158.58,356,23,41
2025-05,B005,INSTITUTION,STOCK,10382183056.99,0.00026957,3588082.46,481,14,7
2025-05,B006,RETAIL,STOCK,44013357233.05,0.00036288,15211016.26,965,156,14
2025-05,B006,HNW,ETF,17747321464.94,0.00032832,6133474.3,600,57,33
2025-05,B006,INSTITUTION,STOCK,9228607161.77,0.00026957,3189406.63,244,8,22
2025-05,B007,RETAIL,STOCK,60518366195.45,0.00036288,20915147.36,520,135,26
2025-05,B007,HNW,ETF,24402567014.29,0.00032832,8433527.16,865,27,32
2025-05,B007,INSTITUTION,STOCK,12689334847.43,0.00026957,4385434.12,228,6,20
2025-05,B008,RETAIL,STOCK,38511687578.92,0.00036288,13309639.22,992,31,59
2025-05,B008,HNW,ETF,15528906281.82,0.00032832,5366790.01,912,27,17
2025-05,B008,INSTITUTION,STOCK,8075031266.55,0.00026957,2790730.81,387,22,20
2025-05,B009,RETAIL,STOCK,27508348270.66,0.00036288,9506885.16,2205,51,39
2025-05,B009,HNW,ETF,11092075915.59,0.00032832,3833421.44,455,33,12
2025-05,B009,INSTITUTION,STOCK,5767879476.11,0.00026957,1993379.15,271,26,5
2025-06,B001,RETAIL,STOCK,80560162792.64,0.00036288,27841592.26,2752,55,33
2025-06,B001,HNW,ETF,32483936609.94,0.00032832,11226448.49,344,44,28
2025-06,B001,INSTITUTION,STOCK,16891647037.17,0.00026957,5837753.22,267,20,13
2025-06,B002,RETAIL,STOCK,160478474818.87,0.00028665,43810623.63,2195,22,91
2025-06,B002,HNW,ETF,64709062426.96,0.00025935,17665574.04,1103,31,16
2025-06,B002,INSTITUTION,STOCK,33648712462.02,0.00021294,9186098.5,578,5,11
2025-06,B003,RETAIL,STOCK,73493481845.92,0.00034474,24129379.96,2705,155,94
2025-06,B003,HNW,ETF,29634468486.26,0.0003119,9729588.69,1078,32,32
2025-06,B003,INSTITUTION,STOCK,15409923612.85,0.00025609,5059386.12,559,33,18
2025-06,B004,RETAIL,STOCK,53706775195.09,0.00036288,18561061.51,2264,156,77
2025-06,B004,HNW,ETF,21655957739.96,0.00032832,7484299.0,671,51,15
2025-06,B004,INSTITUTION,STOCK,11261098024.78,0.00026957,3891835.48,344,19,3
2025-06,B005,RETAIL,STOCK,48336097675.59,0.00036288,16704955.36,1656,76,90
2025-06,B005,HNW,ETF,19490361965.96,0.00032832,6735869.09,645,22,36
2025-06,B005,INSTITUTION,STOCK,10134988222.3,0.00026957,3502651.93,361,11,20
2025-06,B006,RETAIL,STOCK,42965420156.07,0.00036288,14848849.2,2252,146,100
2025-06,B006,HNW,ETF,17324766191.97,0.00032832,5987439.2,330,28,24
2025-06,B006,INSTITUTION,STOCK,9008878419.82,0.00026957,3113468.38,518,12,5
2025-06,B007,RETAIL,STOCK,59077452714.6,0.00036288,20417167.66,2058,53,63
2025-06,B007,HNW,ETF,23821553513.95,0.00032832,8232728.89,333,12,26
2025-06,B007,INSTITUTION,STOCK,12387207827.26,0.00026957,4281019.03,476,16,8
2025-06,B008,RETAIL,STOCK,37594742636.57,0.00036288,12992743.06,824,44,57
2025-06,B008,HNW,ETF,15159170417.97,0.00032832,5239009.3,513,18,34
2025-06,B008,INSTITUTION,STOCK,7882768617.34,0.00026957,2724284.83,354,7,23
2025-06,B009,RETAIL,STOCK,26853387597.54,0.00036288,9280530.75,2181,77,13
2025-06,B009,HNW,ETF,10827978869.98,0.00032832,3742149.5,703,32,23
2025-06,B009,INSTITUTION,STOCK,5630549012.39,0.00026957,1945917.74,481,16,22
2025-07,B001,RETAIL,STOCK,72358916103.25,0.00036288,25007241.4,662,155,26
2025-07,B001,HNW,ETF,29176982299.7,0.00032832,10083565.08,448,53,19
2025-07,B001,INSTITUTION,STOCK,15172030795.84,0.00026957,5243453.84,516,23,11
2025-07,B002,RETAIL,STOCK,144141323617.8,0.00028665,39350581.35,2362,137,74
2025-07,B002,HNW,ETF,58121501458.79,0.00025935,15867169.9,374,37,40
2025-07,B002,INSTITUTION,STOCK,30223180758.57,0.00021294,8250928.35,205,25,22
2025-07,B003,RETAIL,STOCK,66011642760.86,0.00034474,21672942.55,1450,112,60
2025-07,B003,HNW,ETF,26617597887.44,0.0003119,8739089.74,378,15,39
2025-07,B003,INSTITUTION,STOCK,13841150901.47,0.00025609,4544326.66,179,10,8
2025-07,B004,RETAIL,STOCK,48239277402.17,0.00036288,16671494.27,2599,26,50
2025-07,B004,HNW,ETF,19451321533.13,0.00032832,6722376.72,292,21,15
2025-07,B004,INSTITUTION,STOCK,10114687197.23,0.00026957,3495635.9,258,25,8
2025-07,B005,RETAIL,STOCK,43415349661.95,0.00036288,15004344.84,1993,116,72
2025-07,B005,HNW,ETF,17506189379.82,0.00032832,6050139.05,1036,21,42
2025-07,B005,INSTITUTION,STOCK,9103218477.51,0.00026957,3146072.31,228,18,22
2025-07,B006,RETAIL,STOCK,38591421921.73,0.00036288,13337195.42,801,153,25
2025-07,B006,HNW,ETF,15561057226.5,0.00032832,5377901.38,1110,41,20
2025-07,B006,INSTITUTION,STOCK,8091749757.78,0.00026957,2796508.72,495,12,18
2025-07,B007,RETAIL,STOCK,53063205142.38,0.00036288,18338643.7,835,75,63
2025-07,B007,HNW,ETF,21396453686.44,0.00032832,7394614.39,1123,20,38
2025-07,B007,INSTITUTION,STOCK,11126155916.95,0.00026957,3845199.49,351,30,18
2025-07,B008,RETAIL,STOCK,33767494181.52,0.00036288,11670045.99,830,138,81
2025-07,B008,HNW,ETF,13615925073.19,0.00032832,4705663.71,1035,33,27
2025-07,B008,INSTITUTION,STOCK,7080281038.06,0.00026957,2446945.13,291,10,8
2025-07,B009,RETAIL,STOCK,24119638701.08,0.00036288,8335747.13,2747,150,68
2025-07,B009,HNW,ETF,9725660766.57,0.00032832,3361188.36,1020,18,28
2025-07,B009,INSTITUTION,STOCK,5057343598.61,0.00026957,1747817.95,328,26,11
2025-08,B001,RETAIL,STOCK,74238368469.57,0.00036288,25656780.15,1528,96,62
2025-08,B001,HNW,ETF,29934825995.79,0.00032832,10345475.87,425,11,42
2025-08,B001,INSTITUTION,STOCK,15566109517.81,0.00026957,5379647.45,363,7,12
2025-08,B002,RETAIL,STOCK,147885254101.38,0.00028665,40372674.37,1379,128,70
2025-08,B002,HNW,ETF,59631150847.33,0.00025935,16279304.18,982,61,28
2025-08,B002,INSTITUTION,STOCK,31008198440.61,0.00021294,8465238.17,310,9,6
2025-08,B003,RETAIL,STOCK,67726230884.52,0.00034474,22235876.12,1985,35,94
2025-08,B003,HNW,ETF,27308964066.34,0.0003119,8966079.08,475,16,18
2025-08,B003,INSTITUTION,STOCK,14200661314.5,0.00025609,4662361.12,458,14,5
2025-08,B004,RETAIL,STOCK,49492245646.38,0.00036288,17104520.1,1949,142,99
2025-08,B004,HNW,ETF,19956550663.86,0.00032832,6896983.91,988,25,10
2025-08,B004,INSTITUTION,STOCK,10377406345.21,0.00026957,3586431.63,517,9,3
2025-08,B005,RETAIL,STOCK,44543021081.74,0.00036288,15394068.08,1527,83,81
2025-08,B005,HNW,ETF,17960895597.48,0.00032832,6207285.52,528,10,35
2025-08,B005,INSTITUTION,STOCK,9339665710.69,0.00026957,3227788.47,326,14,4
2025-08,B006,RETAIL,STOCK,39593796517.1,0.00036288,13683616.08,1869,150,44
2025-08,B006,HNW,ETF,15965240531.09,0.00032832,5517587.13,1114,28,9
2025-08,B006,INSTITUTION,STOCK,8301925076.17,0.00026957,2869145.31,347,14,7
2025-08,B007,RETAIL,STOCK,54441470211.02,0.00036288,18814972.1,1986,22,83
2025-08,B007,HNW,ETF,21952205730.25,0.00032832,7586682.3,549,34,10
2025-08,B007,INSTITUTION,STOCK,11415146979.73,0.00026957,3945074.8,111,17,4
2025-08,B008,RETAIL,STOCK,34644571952.47,0.00036288,11973164.07,1709,51,65
2025-08,B008,HNW,ETF,13969585464.7,0.00032832,4827888.74,783,45,21
2025-08,B008,INSTITUTION,STOCK,7264184441.65,0.00026957,2510502.14,327,24,12
2025-08,B009,RETAIL,STOCK,24746122823.19,0.00036288,8552260.05,1119,91,79
2025-08,B009,HNW,ETF,9978275331.93,0.00032832,3448491.96,247,29,9
2025-08,B009,INSTITUTION,STOCK,5188703172.6,0.00026957,1793215.82,385,11,9
2025-09,B001,RETAIL,STOCK,84575356484.32,0.00036288,29229243.2,1551,117,110
2025-09,B001,HNW,ETF,34102966324.32,0.00032832,11785985.16,963,10,43
2025-09,B001,INSTITUTION,STOCK,17733542488.65,0.00026957,6128712.28,406,5,3
2025-09,B002,RETAIL,STOCK,168476871761.06,0.00028665,45994185.99,1625,112,32
2025-09,B002,HNW,ETF,67934222484.3,0.00025935,18546042.74,968,11,18
2025-09,B002,INSTITUTION,STOCK,35325795691.84,0.00021294,9643942.22,528,8,7
2025-09,B003,RETAIL,STOCK,77156465564.64,0.00034474,25332010.77,2502,75,13
2025-09,B003,HNW,ETF,31111478050.26,0.0003119,10214520.47,813,12,38
2025-09,B003,INSTITUTION,STOCK,16177968586.14,0.00025609,5311550.65,236,29,10
2025-09,B004,RETAIL,STOCK,56383570989.55,0.00036288,19486162.13,910,24,104
2025-09,B004,HNW,ETF,22735310882.88,0.00032832,7857323.44,1064,31,42
2025-09,B004,INSTITUTION,STOCK,11822361659.1,0.00026957,4085808.19,564,13,18
2025-09,B005,RETAIL,STOCK,50745213890.6,0.00036288,17537545.92,2299,144,108
2025-09,B005,HNW,ETF,20461779794.6,0.00032832,7071591.1,556,48,25
2025-09,B005,INSTITUTION,STOCK,10640125493.19,0.00026957,3677227.37,162,9,17
2025-09,B006,RETAIL,STOCK,45106856791.64,0.00036288,15588929.71,1161,119,14
2025-09,B006,HNW,ETF,18188248706.31,0.00032832,6285858.75,936,11,30
2025-09,B006,INSTITUTION,STOCK,9457889327.28,0.00026957,3268646.55,261,7,12
2025-09,B007,RETAIL,STOCK,62021928088.5,0.00036288,21434778.35,1792,154,110
2025-09,B007,HNW,ETF,25008841971.17,0.00032832,8643055.79,902,29,12
2025-09,B007,INSTITUTION,STOCK,13004597825.01,0.00026957,4494389.01,187,7,15
2025-09,B008,RETAIL,STOCK,39468499692.68,0.00036288,13640313.5,2527,70,32
2025-09,B008,HNW,ETF,15914717618.02,0.00032832,5500126.41,724,20,12
2025-09,B008,INSTITUTION,STOCK,8275653161.37,0.00026957,2860065.73,570,31,18
2025-09,B009,RETAIL,STOCK,28191785494.77,0.00036288,9743081.07,2475,153,109
2025-09,B009,HNW,ETF,11367655441.44,0.00032832,3928661.72,442,43,10
2025-09,B009,INSTITUTION,STOCK,5911180829.55,0.00026957,2042904.09,260,16,22
2025-10,B001,RETAIL,STOCK,82695904118.0,0.00036288,28579704.46,2422,132,85
2025-10,B001,HNW,ETF,33345122628.23,0.00032832,11524074.38,569,9,44
2025-10,B001,INSTITUTION,STOCK,17339463766.68,0.00026957,5992518.68,482,4,8
2025-10,B002,RETAIL,STOCK,164732941277.48,0.00028665,44972092.97,2251,96,85
2025-10,B002,HNW,ETF,66424573095.76,0.00025935,18133908.45,476,26,12
2025-10,B002,INSTITUTION,STOCK,34540778009.8,0.00021294,9429632.4,334,15,3
2025-10,B003,RETAIL,STOCK,75441877440.99,0.00034474,24769077.2,627,46,96
2025-10,B003,HNW,ETF,30420111871.37,0.0003119,9987531.13,476,49,16
2025-10,B003,INSTITUTION,STOCK,15818458173.11,0.00025609,5193516.19,250,26,3
2025-10,B004,RETAIL,STOCK,55130602745.34,0.00036288,19053136.31,1547,30,79
2025-10,B004,HNW,ETF,22230081752.15,0.00032832,7682716.25,341,10,44
2025-10,B004,INSTITUTION,STOCK,11559642511.12,0.00026957,3995012.45,368,28,6
2025-10,B005,RETAIL,STOCK,49617542470.8,0.00036288,17147822.68,987,85,81
2025-10,B005,HNW,ETF,20007073576.94,0.00032832,6914444.63,1096,16,33
2025-10,B005,INSTITUTION,STOCK,10403678260.01,0.00026957,3595511.21,279,11,11
2025-10,B006,RETAIL,STOCK,44104482196.27,0.00036288,15242509.05,1608,67,39
2025-10,B006,HNW,ETF,17784065401.72,0.00032832,6146173.0,481,58,40
2025-10,B006,INSTITUTION,STOCK,9247714008.89,0.00026957,3196009.96,486,6,18
2025-10,B007,RETAIL,STOCK,60643663019.87,0.00036288,20958449.94,1678,129,95
2025-10,B007,HNW,ETF,24453089927.37,0.00032832,8450987.88,418,19,43
2025-10,B007,INSTITUTION,STOCK,12715606762.23,0.00026957,4394513.7,474,27,20
2025-10,B008,RETAIL,STOCK,38591421921.73,0.00036288,13337195.42,2756,49,73
2025-10,B008,HNW,ETF,15561057226.5,0.00032832,5377901.38,210,54,27
2025-10,B008,INSTITUTION,STOCK,8091749757.78,0.00026957,2796508.72,168,31,3
2025-10,B009,RETAIL,STOCK,27565301372.67,0.00036288,9526568.16,1216,25,22
2025-10,B009,HNW,ETF,11115040876.08,0.00032832,3841358.13,722,64,35
2025-10,B009,INSTITUTION,STOCK,5779821255.56,0.00026957,1997506.23,415,31,20
2025-11,B001,RETAIL,STOCK,91153439766.44,0.00036288,31502628.79,1729,22,71
2025-11,B001,HNW,ETF,36755419260.66,0.00032832,12702672.9,485,54,13
2025-11,B001,INSTITUTION,STOCK,19112818015.54,0.00026957,6605389.91,290,18,22
2025-11,B002,RETAIL,STOCK,181580628453.59,0.00028665,49571511.57,2565,129,106
2025-11,B002,HNW,ETF,73217995344.19,0.00025935,19988512.73,510,52,28
2025-11,B002,INSTITUTION,STOCK,38073357578.98,0.00021294,10394026.62,444,25,20
2025-11,B003,RETAIL,STOCK,83157523997.45,0.00034474,27302278.28,1223,88,22
2025-11,B003,HNW,ETF,33531259676.39,0.0003119,11008983.18,845,8,5
2025-11,B003,INSTITUTION,STOCK,17436255031.72,0.00025609,5724671.25,380,20,15
2025-11,B004,RETAIL,STOCK,60768959844.29,0.00036288,21001752.52,1798,105,23
2025-11,B004,HNW,ETF,24503612840.44,0.00032832,8468448.6,628,61,36
2025-11,B004,INSTITUTION,STOCK,12741878677.03,0.00026957,4403593.27,341,33,9
2025-11,B005,RETAIL,STOCK,54692063859.86,0.00036288,18901577.27,763,136,13
2025-11,B005,HNW,ETF,22053251556.4,0.00032832,7621603.74,386,46,40
2025-11,B005,INSTITUTION,STOCK,11467690809.33,0.00026957,3963233.94,359,27,9
2025-11,B006,RETAIL,STOCK,48615167875.43,0.00036288,16801402.02,2727,41,86
2025-11,B006,HNW,ETF,19602890272.35,0.00032832,6774758.88,725,39,17
2025-11,B006,INSTITUTION,STOCK,10193502941.62,0.00026957,3522874.62,343,11,13
2025-11,B007,RETAIL,STOCK,66845855828.72,0.00036288,23101927.77,529,53,48
2025-11,B007,HNW,ETF,26953974124.48,0.00032832,9315293.46,956,14,9
2025-11,B007,INSTITUTION,STOCK,14016066544.73,0.00026957,4843952.6,205,19,16
2025-11,B008,RETAIL,STOCK,42538271891.0,0.00036288,14701226.76,1990,133,63
2025-11,B008,HNW,ETF,17152528988.31,0.00032832,5927914.02,427,49,29
2025-11,B008,INSTITUTION,STOCK,8919315073.92,0.00026957,3082515.29,165,27,11
2025-11,B009,RETAIL,STOCK,30384479922.15,0.00036288,10500876.26,2760,29,16
2025-11,B009,HNW,ETF,12251806420.22,0.00032832,4234224.3,1043,8,12
2025-11,B009,INSTITUTION,STOCK,6370939338.51,0.00026957,2201796.64,202,13,10
2025-12,B001,RETAIL,STOCK,97731523048.55,0.00036288,33776014.37,520,56,26
2025-12,B001,HNW,ETF,39407872197.0,0.00032832,13619360.63,374,53,11
2025-12,B001,INSTITUTION,STOCK,20492093542.44,0.00026957,7082067.53,109,30,16
2025-12,B002,RETAIL,STOCK,194684385146.12,0.00028665,53148837.15,1869,42,88
2025-12,B002,HNW,ETF,78501768204.08,0.00025935,21430982.72,950,60,30
2025-12,B002,INSTITUTION,STOCK,40820919466.12,0.00021294,11144111.01,497,12,14
2025-12,B003,RETAIL,STOCK,89158582430.26,0.00034474,29272545.78,1131,143,48
2025-12,B003,HNW,ETF,35951041302.52,0.0003119,11803445.88,286,60,8
2025-12,B003,INSTITUTION,STOCK,18694541477.31,0.00025609,6137791.86,327,31,8
2025-12,B004,RETAIL,STOCK,65154348699.03,0.00036288,22517342.91,916,79,106
2025-12,B004,HNW,ETF,26271914798.0,0.00032832,9079573.76,517,10,23
2025-12,B004,INSTITUTION,STOCK,13661395694.96,0.00026957,4721378.35,529,19,6
2025-12,B005,RETAIL,STOCK,58638913829.13,0.00036288,20265608.62,1557,68,87
2025-12,B005,HNW,ETF,23644723318.2,0.00032832,8171616.38,472,36,10
2025-12,B005,INSTITUTION,STOCK,12295256125.46,0.00026957,4249240.52,334,10,8
2025-12,B006,RETAIL,STOCK,52123478959.23,0.00036288,18013874.33,1526,109,99
2025-12,B006,HNW,ETF,21017531838.4,0.00032832,7263659.0,788,32,7
2025-12,B006,INSTITUTION,STOCK,10929116555.97,0.00026957,3777102.68,475,8,18
