period,biz_line_id,branch_id,product_type,customer_segment,budget_revenue,budget_direct_cost,budget_allocated_expense,budget_profit,budget_trade_volume,budget_commission_rate
2025-01,WEALTH,B008,WEALTH_PRODUCT,HNW,2457589.43,737276.83,638973.25,1081339.35,0.0,0.0
2025-01,WEALTH,B009,WEALTH_PRODUCT,HNW,1755421.02,526626.31,456409.47,772385.25,0.0,0.0
2025-01,HQ,B001,HQ_SERVICE,INSTITUTION,7884000.0,5124600.0,5676480.0,-2917080.0,0.0,0.0
2025-01,HQ,B002,HQ_SERVICE,INSTITUTION,11563200.0,7516080.0,8325504.0,-4278384.0,0.0,0.0
2025-01,HQ,B003,HQ_SERVICE,INSTITUTION,6832800.0,4441320.0,4919616.0,-2528136.0,0.0,0.0
2025-01,HQ,B004,HQ_SERVICE,INSTITUTION,5256000.0,3416400.0,3784320.0,-1944720.0,0.0,0.0
2025-01,HQ,B005,HQ_SERVICE,INSTITUTION,4730400.0,3074760.0,3405888.0,-1750248.0,0.0,0.0
2025-01,HQ,B006,HQ_SERVICE,INSTITUTION,4204800.0,2733120.0,3027456.0,-1555776.0,0.0,0.0
2025-01,HQ,B007,HQ_SERVICE,INSTITUTION,5781600.0,3758040.0,4162752.0,-2139192.0,0.0,0.0
2025-01,HQ,B008,HQ_SERVICE,INSTITUTION,3679200.0,2391480.0,2649024.0,-1361304.0,0.0,0.0
2025-01,HQ,B009,HQ_SERVICE,INSTITUTION,2628000.0,1708200.0,1892160.0,-972360.0,0.0,0.0
2025-02,BROKERAGE,B001,STOCK,RETAIL,41758734.27,9604508.88,10022096.23,22132129.17,115996484096.34,0.00036
2025-02,BROKERAGE,B002,STOCK,RETAIL,72270449.45,16622203.37,17344907.87,38303338.21,240901498171.27,0.0003
2025-02,BROKERAGE,B003,STOCK,RETAIL,36190903.04,8323907.7,8685816.73,19181178.61,105821353912.45,0.000342
2025-02,BROKERAGE,B004,STOCK,RETAIL,27839156.18,6403005.92,6681397.48,14754752.78,77330989397.56,0.00036
2025-02,BROKERAGE,B005,STOCK,RETAIL,25055240.56,5762705.33,6013257.74,13279277.5,69597890457.8,0.00036
2025-02,BROKERAGE,B006,STOCK,RETAIL,22271324.95,5122404.74,5345117.99,11803802.22,61864791518.05,0.00036
2025-02,BROKERAGE,B007,STOCK,RETAIL,30623071.8,7043306.51,7349537.23,16230228.05,85064088337.31,0.00036
2025-02,BROKERAGE,B008,STOCK,RETAIL,19487409.33,4482104.15,4676978.24,10328326.94,54131692578.29,0.00036
2025-02,BROKERAGE,B009,STOCK,RETAIL,13919578.09,3201502.96,3340698.74,7377376.39,38665494698.78,0.00036
2025-02,IB,B001,IB_PROJECT,INSTITUTION,4064080.06,1544350.42,894097.61,1625632.02,0.0,0.0
2025-02,IB,B002,IB_PROJECT,INSTITUTION,5960650.75,2265047.29,1311343.17,2384260.3,0.0,0.0
2025-02,IB,B003,IB_PROJECT,INSTITUTION,3522202.72,1338437.03,774884.6,1408881.09,0.0,0.0
2025-02,IB,B004,IB_PROJECT,INSTITUTION,2709386.71,1029566.95,596065.08,1083754.68,0.0,0.0
2025-02,IB,B005,IB_PROJECT,INSTITUTION,2438448.04,926610.25,536458.57,975379.21,0.0,0.0
2025-02,IB,B006,IB_PROJECT,INSTITUTION,2167509.36,823653.56,476852.06,867003.75,0.0,0.0
2025-02,IB,B007,IB_PROJECT,INSTITUTION,2980325.38,1132523.64,655671.58,1192130.15,0.0,0.0
2025-02,IB,B008,IB_PROJECT,INSTITUTION,1896570.69,720696.86,417245.55,758628.28,0.0,0.0
2025-02,IB,B009,IB_PROJECT,INSTITUTION,1354693.35,514783.47,298032.54,541877.34,0.0,0.0
2025-02,ASSET_MGMT,B001,ASSET_MGMT_PLAN,HNW,4277352.28,1240432.16,1026564.55,2010355.57,0.0,0.0
2025-02,ASSET_MGMT,B002,ASSET_MGMT_PLAN,HNW,6273450.01,1819300.5,1505628.0,2948521.51,0.0,0.0
2025-02,ASSET_MGMT,B003,ASSET_MGMT_PLAN,HNW,3707038.64,1075041.21,889689.27,1742308.16,0.0,0.0
2025-02,ASSET_MGMT,B004,ASSET_MGMT_PLAN,HNW,2851568.19,826954.77,684376.36,1340237.05,0.0,0.0
2025-02,ASSET_MGMT,B005,ASSET_MGMT_PLAN,HNW,2566411.37,744259.3,615938.73,1206213.34,0.0,0.0
2025-02,ASSET_MGMT,B006,ASSET_MGMT_PLAN,HNW,2281254.55,661563.82,547501.09,1072189.64,0.0,0.0
2025-02,ASSET_MGMT,B007,ASSET_MGMT_PLAN,HNW,3136725.01,909650.25,752814.0,1474260.75,0.0,0.0
2025-02,ASSET_MGMT,B008,ASSET_MGMT_PLAN,HNW,1996097.73,578868.34,479063.46,938165.93,0.0,0.0
2025-02,ASSET_MGMT,B009,ASSET_MGMT_PLAN,HNW,1425784.09,413477.39,342188.18,670118.52,0.0,0.0
2025-02,PROPRIETARY,B001,PROPRIETARY_BOOK,INSTITUTION,21122961.06,1689836.88,2112296.11,17320828.07,0.0,0.0
2025-02,PROPRIETARY,B002,PROPRIETARY_BOOK,INSTITUTION,30980342.89,2478427.43,3098034.29,25403881.17,0.0,0.0
2025-02,PROPRIETARY,B003,PROPRIETARY_BOOK,INSTITUTION,18306566.25,1464525.3,1830656.63,15011384.33,0.0,0.0
2025-02,PROPRIETARY,B004,PROPRIETARY_BOOK,INSTITUTION,14081974.04,1126557.92,1408197.4,11547218.71,0.0,0.0
2025-02,PROPRIETARY,B005,PROPRIETARY_BOOK,INSTITUTION,12673776.64,1013902.13,1267377.66,10392496.84,0.0,0.0
2025-02,PROPRIETARY,B006,PROPRIETARY_BOOK,INSTITUTION,11265579.23,901246.34,1126557.92,9237774.97,0.0,0.0
2025-02,PROPRIETARY,B007,PROPRIETARY_BOOK,INSTITUTION,15490171.44,1239213.72,1549017.14,12701940.58,0.0,0.0
2025-02,PROPRIETARY,B008,PROPRIETARY_BOOK,INSTITUTION,9857381.83,788590.55,985738.18,8083053.1,0.0,0.0
2025-02,PROPRIETARY,B009,PROPRIETARY_BOOK,INSTITUTION,7040987.02,563278.96,704098.7,5773609.36,0.0,0.0
2025-02,MARGIN,B001,MARGIN_FINANCING,HNW,22131345.57,3983642.2,3983642.2,14164061.16,276641819619.73,0.0
2025-02,MARGIN,B002,MARGIN_FINANCING,HNW,32459306.84,5842675.23,5842675.23,20773956.37,405741335442.26,0.0
2025-02,MARGIN,B003,MARGIN_FINANCING,HNW,19180499.49,3452489.91,3452489.91,12275519.68,239756243670.43,0.0
2025-02,MARGIN,B004,MARGIN_FINANCING,HNW,14754230.38,2655761.47,2655761.47,9442707.44,184427879746.48,0.0
2025-02,MARGIN,B005,MARGIN_FINANCING,HNW,13278807.34,2390185.32,2390185.32,8498436.7,165985091771.84,0.0
2025-02,MARGIN,B006,MARGIN_FINANCING,HNW,11803384.3,2124609.17,2124609.17,7554165.95,147542303797.19,0.0
2025-02,MARGIN,B007,MARGIN_FINANCING,HNW,16229653.42,2921337.62,2921337.62,10386978.19,202870667721.13,0.0
2025-02,MARGIN,B008,MARGIN_FINANCING,HNW,10327961.27,1859033.03,1859033.03,6609895.21,129099515822.54,0.0
2025-02,MARGIN,B009,MARGIN_FINANCING,HNW,7377115.19,1327880.73,1327880.73,4721353.72,92213939873.24,0.0
2025-02,WEALTH,B001,WEALTH_PRODUCT,HNW,5951598.67,1785479.6,1547415.65,2618703.41,0.0,0.0
2025-02,WEALTH,B002,WEALTH_PRODUCT,HNW,8729011.38,2618703.41,2269542.96,3840765.01,0.0,0.0
2025-02,WEALTH,B003,WEALTH_PRODUCT,HNW,4126441.74,1237932.52,1072874.85,1815634.37,0.0,0.0
2025-02,WEALTH,B004,WEALTH_PRODUCT,HNW,3174185.96,952255.79,825288.35,1396641.82,0.0,0.0
2025-02,WEALTH,B005,WEALTH_PRODUCT,HNW,3570959.2,1071287.76,928449.39,1571222.05,0.0,0.0
2025-02,WEALTH,B006,WEALTH_PRODUCT,HNW,2539348.77,761804.63,660230.68,1117313.46,0.0,0.0
2025-02,WEALTH,B007,WEALTH_PRODUCT,HNW,3491604.55,1047481.37,907817.18,1536306.0,0.0,0.0
2025-02,WEALTH,B008,WEALTH_PRODUCT,HNW,2221930.17,666579.05,577701.84,977649.27,0.0,0.0
2025-02,WEALTH,B009,WEALTH_PRODUCT,HNW,1587092.98,476127.89,412644.17,698320.91,0.0,0.0
2025-02,HQ,B001,HQ_SERVICE,INSTITUTION,7128000.0,4633200.0,5132160.0,-2637360.0,0.0,0.0
2025-02,HQ,B002,HQ_SERVICE,INSTITUTION,10454400.0,6795360.0,7527168.0,-3868128.0,0.0,0.0
2025-02,HQ,B003,HQ_SERVICE,INSTITUTION,6177600.0,4015440.0,4447872.0,-2285712.0,0.0,0.0
2025-02,HQ,B004,HQ_SERVICE,INSTITUTION,4752000.0,3088800.0,3421440.0,-1758240.0,0.0,0.0
2025-02,HQ,B005,HQ_SERVICE,INSTITUTION,4276800.0,2779920.0,3079296.0,-1582416.0,0.0,0.0
2025-02,HQ,B006,HQ_SERVICE,INSTITUTION,3801600.0,2471040.0,2737152.0,-1406592.0,0.0,0.0
2025-02,HQ,B007,HQ_SERVICE,INSTITUTION,5227200.0,3397680.0,3763584.0,-1934064.0,0.0,0.0
2025-02,HQ,B008,HQ_SERVICE,INSTITUTION,3326400.0,2162160.0,2395008.0,-1230768.0,0.0,0.0
2025-02,HQ,B009,HQ_SERVICE,INSTITUTION,2376000.0,1544400.0,1710720.0,-879120.0,0.0,0.0
2025-03,BROKERAGE,B001,STOCK,RETAIL,51249355.7,11787351.81,12299845.37,27162158.52,142359321390.96,0.00036
2025-03,BROKERAGE,B002,STOCK,RETAIL,88695551.6,20399976.87,21286932.38,47008642.35,295651838664.74,0.0003
2025-03,BROKERAGE,B003,STOCK,RETAIL,44416108.27,10215704.9,10659865.99,23540537.39,129871661619.82,0.000342
2025-03,BROKERAGE,B004,STOCK,RETAIL,34166237.13,7858234.54,8199896.91,18108105.68,94906214260.64,0.00036
2025-03,BROKERAGE,B005,STOCK,RETAIL,30749613.42,7072411.09,7379907.22,16297295.11,85415592834.58,0.00036
2025-03,BROKERAGE,B006,STOCK,RETAIL,27332989.71,6286587.63,6559917.53,14486484.54,75924971408.51,0.00036
2025-03,BROKERAGE,B007,STOCK,RETAIL,37582860.85,8644057.99,9019886.6,19918916.25,104396835686.7,0.00036
2025-03,BROKERAGE,B008,STOCK,RETAIL,23916365.99,5500764.18,5739927.84,12675673.98,66434349982.45,0.00036
2025-03,BROKERAGE,B009,STOCK,RETAIL,17083118.57,3929117.27,4099948.46,9054052.84,47453107130.32,0.00036
2025-03,IB,B001,IB_PROJECT,INSTITUTION,4987734.62,1895339.15,1097301.62,1995093.85,0.0,0.0
2025-03,IB,B002,IB_PROJECT,INSTITUTION,7315344.11,2779830.76,1609375.7,2926137.64,0.0,0.0
2025-03,IB,B003,IB_PROJECT,INSTITUTION,4322703.34,1642627.27,950994.73,1729081.33,0.0,0.0
2025-03,IB,B004,IB_PROJECT,INSTITUTION,3325156.41,1263559.44,731534.41,1330062.56,0.0,0.0
2025-03,IB,B005,IB_PROJECT,INSTITUTION,2992640.77,1137203.49,658380.97,1197056.31,0.0,0.0
2025-03,IB,B006,IB_PROJECT,INSTITUTION,2660125.13,1010847.55,585227.53,1064050.05,0.0,0.0
2025-03,IB,B007,IB_PROJECT,INSTITUTION,3657672.05,1389915.38,804687.85,1463068.82,0.0,0.0
2025-03,IB,B008,IB_PROJECT,INSTITUTION,2327609.49,884491.61,512074.09,931043.8,0.0,0.0
2025-03,IB,B009,IB_PROJECT,INSTITUTION,1662578.21,631779.72,365767.21,665031.28,0.0,0.0
2025-03,ASSET_MGMT,B001,ASSET_MGMT_PLAN,HNW,5249477.8,1522348.56,1259874.67,2467254.57,0.0,0.0
2025-03,ASSET_MGMT,B002,ASSET_MGMT_PLAN,HNW,7699234.1,2232777.89,1847816.19,3618640.03,0.0,0.0
2025-03,ASSET_MGMT,B003,ASSET_MGMT_PLAN,HNW,4549547.43,1319368.75,1091891.38,2138287.29,0.0,0.0
2025-03,ASSET_MGMT,B004,ASSET_MGMT_PLAN,HNW,3499651.87,1014899.04,839916.45,1644836.38,0.0,0.0
2025-03,ASSET_MGMT,B005,ASSET_MGMT_PLAN,HNW,3149686.68,913409.14,755924.8,1480352.74,0.0,0.0
2025-03,ASSET_MGMT,B006,ASSET_MGMT_PLAN,HNW,2799721.49,811919.23,671933.16,1315869.1,0.0,0.0
2025-03,ASSET_MGMT,B007,ASSET_MGMT_PLAN,HNW,3849617.05,1116388.95,923908.09,1809320.01,0.0,0.0
2025-03,ASSET_MGMT,B008,ASSET_MGMT_PLAN,HNW,2449756.31,710429.33,587941.51,1151385.46,0.0,0.0
2025-03,ASSET_MGMT,B009,ASSET_MGMT_PLAN,HNW,1749825.93,507449.52,419958.22,822418.19,0.0,0.0
2025-03,PROPRIETARY,B001,PROPRIETARY_BOOK,INSTITUTION,25923634.03,2073890.72,2592363.4,21257379.9,0.0,0.0
2025-03,PROPRIETARY,B002,PROPRIETARY_BOOK,INSTITUTION,38021329.91,3041706.39,3802132.99,31177490.53,0.0,0.0
2025-03,PROPRIETARY,B003,PROPRIETARY_BOOK,INSTITUTION,22467149.49,1797371.96,2246714.95,18423062.58,0.0,0.0
2025-03,PROPRIETARY,B004,PROPRIETARY_BOOK,INSTITUTION,17282422.69,1382593.81,1728242.27,14171586.6,0.0,0.0
2025-03,PROPRIETARY,B005,PROPRIETARY_BOOK,INSTITUTION,15554180.42,1244334.43,1555418.04,12754427.94,0.0,0.0
2025-03,PROPRIETARY,B006,PROPRIETARY_BOOK,INSTITUTION,13825938.15,1106075.05,1382593.81,11337269.28,0.0,0.0
2025-03,PROPRIETARY,B007,PROPRIETARY_BOOK,INSTITUTION,19010664.96,1520853.2,1901066.5,15588745.26,0.0,0.0
2025-03,PROPRIETARY,B008,PROPRIETARY_BOOK,INSTITUTION,12097695.88,967815.67,1209769.59,9920110.62,0.0,0.0
2025-03,PROPRIETARY,B009,PROPRIETARY_BOOK,INSTITUTION,8641211.34,691296.91,864121.13,7085793.3,0.0,0.0
2025-03,MARGIN,B001,MARGIN_FINANCING,HNW,27161196.84,4889015.43,4889015.43,17383165.97,339514960442.39,0.0
2025-03,MARGIN,B002,MARGIN_FINANCING,HNW,39836422.03,7170555.96,7170555.96,25495310.1,497955275315.51,0.0
2025-03,MARGIN,B003,MARGIN_FINANCING,HNW,23539703.92,4237146.71,4237146.71,15065410.51,294246299050.07,0.0
2025-03,MARGIN,B004,MARGIN_FINANCING,HNW,18107464.56,3259343.62,3259343.62,11588777.32,226343306961.59,0.0
2025-03,MARGIN,B005,MARGIN_FINANCING,HNW,16296718.1,2933409.26,2933409.26,10429899.58,203708976265.43,0.0
2025-03,MARGIN,B006,MARGIN_FINANCING,HNW,14485971.65,2607474.9,2607474.9,9271021.85,181074645569.27,0.0
2025-03,MARGIN,B007,MARGIN_FINANCING,HNW,19918211.01,3585277.98,3585277.98,12747655.05,248977637657.75,0.0
2025-03,MARGIN,B008,MARGIN_FINANCING,HNW,12675225.19,2281540.53,2281540.53,8112144.12,158440314873.12,0.0
2025-03,MARGIN,B009,MARGIN_FINANCING,HNW,9053732.28,1629671.81,1629671.81,5794388.66,113171653480.8,0.0
2025-03,WEALTH,B001,WEALTH_PRODUCT,HNW,7304234.73,2191270.42,1899101.03,3213863.28,0.0,0.0
2025-03,WEALTH,B002,WEALTH_PRODUCT,HNW,10712877.61,3213863.28,2785348.18,4713666.15,0.0,0.0
2025-03,WEALTH,B003,WEALTH_PRODUCT,HNW,5064269.41,1519280.82,1316710.05,2228278.54,0.0,0.0
2025-03,WEALTH,B004,WEALTH_PRODUCT,HNW,3895591.86,1168677.56,1012853.88,1714060.42,0.0,0.0
2025-03,WEALTH,B005,WEALTH_PRODUCT,HNW,4382540.84,1314762.25,1139460.62,1928317.97,0.0,0.0
2025-03,WEALTH,B006,WEALTH_PRODUCT,HNW,3116473.49,934942.05,810283.11,1371248.33,0.0,0.0
2025-03,WEALTH,B007,WEALTH_PRODUCT,HNW,4285151.04,1285545.31,1114139.27,1885466.46,0.0,0.0
2025-03,WEALTH,B008,WEALTH_PRODUCT,HNW,2726914.3,818074.29,708997.72,1199842.29,0.0,0.0
2025-03,WEALTH,B009,WEALTH_PRODUCT,HNW,1947795.93,584338.78,506426.94,857030.21,0.0,0.0
2025-03,HQ,B001,HQ_SERVICE,INSTITUTION,8748000.0,5686200.0,6298560.0,-3236760.0,0.0,0.0
2025-03,HQ,B002,HQ_SERVICE,INSTITUTION,12830400.0,8339760.0,9237888.0,-4747248.0,0.0,0.0
2025-03,HQ,B003,HQ_SERVICE,INSTITUTION,7581600.0,4928040.0,5458752.0,-2805192.0,0.0,0.0
2025-03,HQ,B004,HQ_SERVICE,INSTITUTION,5832000.0,3790800.0,4199040.0,-2157840.0,0.0,0.0
2025-03,HQ,B005,HQ_SERVICE,INSTITUTION,5248800.0,3411720.0,3779136.0,-1942056.0,0.0,0.0
2025-03,HQ,B006,HQ_SERVICE,INSTITUTION,4665600.0,3032640.0,3359232.0,-1726272.0,0.0,0.0
2025-03,HQ,B007,HQ_SERVICE,INSTITUTION,6415200.0,4169880.0,4618944.0,-2373624.0,0.0,0.0
2025-03,HQ,B008,HQ_SERVICE,INSTITUTION,4082400.0,2653560.0,2939328.0,-1510488.0,0.0,0.0
2025-03,HQ,B009,HQ_SERVICE,INSTITUTION,2916000.0,1895400.0,2099520.0,-1078920.0,0.0,0.0
2025-04,BROKERAGE,B001,STOCK,RETAIL,49983939.51,11496306.09,11996145.48,26491487.94,138844276418.34,0.00036
2025-04,BROKERAGE,B002,STOCK,RETAIL,86505537.98,19896273.74,20761329.12,45847935.13,288351793265.61,0.0003
2025-04,BROKERAGE,B003,STOCK,RETAIL,43319414.24,9963465.28,10396659.42,22959289.55,126664953925.51,0.000342
2025-04,BROKERAGE,B004,STOCK,RETAIL,33322626.34,7664204.06,7997430.32,17660991.96,92562850945.56,0.00036
2025-04,BROKERAGE,B005,STOCK,RETAIL,29990363.71,6897783.65,7197687.29,15894892.76,83306565851.01,0.00036
2025-04,BROKERAGE,B006,STOCK,RETAIL,26658101.07,6131363.25,6397944.26,14128793.57,74050280756.45,0.00036
2025-04,BROKERAGE,B007,STOCK,RETAIL,36654888.97,8430624.46,8797173.35,19427091.16,101819136040.12,0.00036
2025-04,BROKERAGE,B008,STOCK,RETAIL,23325838.44,5364942.84,5598201.23,12362694.37,64793995661.89,0.00036
2025-04,BROKERAGE,B009,STOCK,RETAIL,16661313.17,3832102.03,3998715.16,8830495.98,46281425472.78,0.00036
2025-04,IB,B001,IB_PROJECT,INSTITUTION,4864580.68,1848540.66,1070207.75,1945832.27,0.0,0.0
2025-04,IB,B002,IB_PROJECT,INSTITUTION,7134718.33,2711192.96,1569638.03,2853887.33,0.0,0.0
2025-04,IB,B003,IB_PROJECT,INSTITUTION,4215969.92,1602068.57,927513.38,1686387.97,0.0,0.0
2025-04,IB,B004,IB_PROJECT,INSTITUTION,3243053.78,1232360.44,713471.83,1297221.51,0.0,0.0
2025-04,IB,B005,IB_PROJECT,INSTITUTION,2918748.41,1109124.39,642124.65,1167499.36,0.0,0.0
2025-04,IB,B006,IB_PROJECT,INSTITUTION,2594443.03,985888.35,570777.47,1037777.21,0.0,0.0
2025-04,IB,B007,IB_PROJECT,INSTITUTION,3567359.16,1355596.48,784819.02,1426943.67,0.0,0.0
2025-04,IB,B008,IB_PROJECT,INSTITUTION,2270137.65,862652.31,499430.28,908055.06,0.0,0.0
2025-04,IB,B009,IB_PROJECT,INSTITUTION,1621526.89,616180.22,356735.92,648610.76,0.0,0.0
2025-04,ASSET_MGMT,B001,ASSET_MGMT_PLAN,HNW,5119861.06,1484759.71,1228766.66,2406334.7,0.0,0.0
2025-04,ASSET_MGMT,B002,ASSET_MGMT_PLAN,HNW,7509129.56,2177647.57,1802191.09,3529290.89,0.0,0.0
2025-04,ASSET_MGMT,B003,ASSET_MGMT_PLAN,HNW,4437212.92,1286791.75,1064931.1,2085490.07,0.0,0.0
2025-04,ASSET_MGMT,B004,ASSET_MGMT_PLAN,HNW,3413240.71,989839.81,819177.77,1604223.13,0.0,0.0
2025-04,ASSET_MGMT,B005,ASSET_MGMT_PLAN,HNW,3071916.64,890855.82,737259.99,1443800.82,0.0,0.0
2025-04,ASSET_MGMT,B006,ASSET_MGMT_PLAN,HNW,2730592.57,791871.84,655342.22,1283378.51,0.0,0.0
2025-04,ASSET_MGMT,B007,ASSET_MGMT_PLAN,HNW,3754564.78,1088823.79,901095.55,1764645.45,0.0,0.0
2025-04,ASSET_MGMT,B008,ASSET_MGMT_PLAN,HNW,2389268.5,692887.86,573424.44,1122956.19,0.0,0.0
2025-04,ASSET_MGMT,B009,ASSET_MGMT_PLAN,HNW,1706620.35,494919.9,409588.89,802111.57,0.0,0.0
